,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,player_number_ind,player_ind
0,3.51057323127341,2.7788022507588606,3.38157528071657,3.219243389009604,0.5897821712903305,0.9109097903369556,1.5235643108002128,-0.6189141460271681,0.18293792744720103,0.7449795479417985,4,Kayla Hoohuli
1,4.064744633314486,1.9314026653230618,-0.6709238213615552,-1.3308922635815137,1.1715761807040757,-2.402895337797082,1.388396314332632,0.7344873179966572,0.12366582319354315,-0.08645264134977607,5,Tiahana Mills
2,4.740483236085509,-2.8923284881448255,-2.160326621961615,-0.5958535229646923,0.17104823570230734,0.05593547267433609,-1.4467891588213908,-0.2858156155166248,1.0060140308701842,0.7115301600814202,24,Crystal Porter
3,0.5046683391671384,-0.6204214346689481,4.0281742290303,0.8148642194366618,-1.0352397509734206,-0.5192052122355971,1.2109440520637587,0.08538465154629452,0.12559759168821724,-0.5750608567795605,31,Emily Weber
4,-0.013385121883782604,-4.69455229340286,-1.8051444033571162,-2.2266694626547667,-0.6604364224419254,-0.03666150798649152,0.3302261223608488,-0.977355573646762,0.5456151126598437,-1.062276593917385,20,Jasmine Mungo
5,-2.895576314018838,0.19296158939571315,0.47849457541580614,-1.887937368679052,-1.4533646994604836,0.4846473884191859,0.07619975596502052,-0.5103555588092705,1.056655039959439,-1.2794382799955528,15,Lauren D'Hont
6,-3.916209955820077,0.5513048699947557,1.093642342588043,-0.16715783515181132,1.0453882256050706,-0.6881146351447404,0.5230605532208352,-0.9619419316715653,1.4513409228258298,-0.12177742909141413,10,Margret Halfdanardottir
7,-5.628354696160694,-1.8110007967871946,1.1374746402884046,3.0895688949325253,0.08702410563114837,-1.4282374379028697,-0.6100656260951827,-1.7987040692156349,-0.6157624459844944,-0.699521246926422,25,Abby Schwenk
8,-4.290483211469039,-5.154832535470769,-1.1081903927839052,2.419555071137587,-0.8174304070674756,-1.233381719919344,-1.067056957315851,-1.2031247856868714,1.26538463083186,0.8810286596718525,35,Laniere Coleman
9,-5.021913872526465,4.456117053220899,-6.123051675885066,-2.7522853401177456,0.4728574709077513,0.2355217787216975,-1.2303935995173032,0.38061524508622574,1.6536442734568768,-0.3075635804298597,22,Tamara Miskovic
10,5.365507936721851,-0.7275319601609738,1.5285203240414629,-1.8567894849328628,-0.8611191439360458,-1.2981509392526485,-1.489761723440814,0.46266312647271096,-0.5762957346745095,0.2586742941818196,14,Sara Hinriksdottir
11,0.991091006569052,1.580544281253291,2.08836377238085,-1.0402409241152777,-0.9767582405509744,-1.977908947265644,1.178926798105647,-0.7162658567641496,-0.11831681889563737,1.4535401879588985,10,Margret Halfdanardottir
12,-0.06363173077988729,0.4825583935419066,2.4328752299932224,0.21581260825332396,0.5815778566297678,0.13072312535395839,-1.6682615338094768,0.5853938685974891,-0.9805776216179544,0.10315201490095041,13,Maria Welch
13,-1.9769922066096555,-2.3005240744462183,1.8568811689875881,-0.13403235381998485,0.3836890349956647,-0.11644458288265104,-1.3798928770841379,0.15920002176915807,-0.911549326117912,0.15934240383885273,24,Tiana Pugh
14,-0.43775519153500725,-4.5631261789799975,-0.5747990704817385,-0.9640956973387583,-0.3809659683346817,-0.5547101440298622,-0.022720469265838164,-2.589305016336433,0.15754747865894272,-0.7277221661006583,44,Danielle Sanderlin
15,-2.349479814415441,-2.5391448590885397,-0.3758679321073681,-4.9562814375085225,1.8497123364191261,0.011498851657145029,-0.4531694953834879,-0.17760101799933145,0.5126885950408294,-0.5267969777894405,11,Anndea Zeigler
16,-3.427804178024835,-3.547941513643391,0.5623657963041503,0.3848169427107441,0.418502243861473,-0.09596455590251254,-0.19558102550805748,0.7845410531514647,-0.3572071193228111,1.1594556736559958,32,Saliah Serrette
17,-4.192330652799312,4.319530336628307,-2.865100365377228,2.8146910960270866,-3.0918475095081868,3.6473652532509813,-0.6310409307838661,1.1722898286324197,-1.3961820072366855,-0.7136406285971549,23,Sarah Cooley
18,-5.524736574119025,3.630298324360587,-2.8092668035689403,-2.699066768540086,-1.1855095720472169,-2.05925893210767,-1.644096226153288,-0.48345504591726585,-0.034131186367858765,-0.11746463526363056,22,Olivia Vernon 
19,-1.9077890309720609,6.841200400439366,-8.273836899345714,1.018853189554736,-0.011027276590565585,5.590176336760962,1.0049273260378855,2.1707488871304474,-1.1437187029955374,-1.6614329181406142,4,Anna Sweny
20,3.2033897914017233,2.4747840151016534,1.440295302337249,-2.517667499694878,0.5891964276363464,-2.2109128036607575,0.01866275287841584,0.4478627345752706,0.11903231856177432,-0.07202570007875313,0,Jaela Johnson
21,3.904485802001669,-4.945481587707603,-1.8636181174359703,-0.6434770884136004,-0.8814926455606772,-2.3078304636520564,0.9064100655120423,0.35828296487062766,-0.6912516281313896,-2.399282930342049,34,Shariah Gailes
22,2.5839407602046682,0.4006280041046385,-1.0770541207113205,-2.160324933525697,-0.5112264457152996,-3.2377957818751764,0.5097398726846208,0.5404485744306319,-0.16020870514886265,-0.3845764479668411,22,Franka Wittenberg
23,1.7734569930270732,-3.5528840593665807,-2.482337210167531,0.12101893697773557,-0.17114906496920698,-0.038356861980219405,0.8939934258145411,0.4739407641522644,0.7428929947327607,0.41465029486765315,11,Mariam Sanogo
24,1.2683188633540097,-2.5986590079843204,-2.416797562886678,0.9593298564732039,-0.8115085252727,-0.41018917925258747,1.8121690022958266,-0.646382965550258,0.6596002961199234,-0.6189705765728595,33,Yasmine Djibril
