#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
22,"Henderson, Sydney  22 Henderson, Sydney",31,31.0,1141,36.8,153,383,0.399,38,121,0.314,62,81,0.765,406,13.1,45,142,187,6.0,72,81,107,56,4,View Bio
24,"Brewer, Jacqueline  24 Brewer, Jacqueline",31,26.0,754,24.3,110,254,0.433,56,127,0.441,33,46,0.717,309,10.0,30,64,94,3.0,22,36,42,32,8,View Bio
33,"Lonergan, Tara  33 Lonergan, Tara",28,16.0,669,23.9,97,175,0.554,1,4,0.25,23,28,0.821,218,7.8,26,69,95,3.4,73,19,33,22,25,View Bio
32,"Kaufman, Jessie  32 Kaufman, Jessie",23,16.0,556,24.2,63,177,0.356,31,94,0.33,8,11,0.727,165,7.2,19,56,75,3.3,44,18,24,14,20,View Bio
20,"Grossett, Kayla  20 Grossett, Kayla",31,4.0,661,21.3,73,204,0.358,6,43,0.14,46,58,0.793,198,6.4,38,67,105,3.4,70,37,66,28,5,View Bio
10,"Mann, Selina  10 Mann, Selina",31,30.0,992,32.0,57,162,0.352,15,45,0.333,62,74,0.838,191,6.2,38,88,126,4.1,88,121,86,81,6,View Bio
45,"Mathews, Rachel  45 Mathews, Rachel",31,28.0,643,20.7,53,131,0.405,0,0,0.0,45,62,0.726,151,4.9,39,82,121,3.9,64,23,59,13,20,View Bio
14,"Christie, Ashley  14 Christie, Ashley",22,0.0,445,20.2,28,104,0.269,16,66,0.242,18,30,0.6,90,4.1,14,38,52,2.4,33,49,38,16,2,View Bio
42,"Carney, Jenn  42 Carney, Jenn",24,3.0,189,7.9,17,44,0.386,7,21,0.333,17,21,0.81,58,2.4,9,10,19,0.8,10,7,20,8,0,View Bio
04,"Leftwich, Jayla  04 Leftwich, Jayla",1,0.0,1,1.0,1,1,1.0,0,0,0.0,0,1,0.0,2,2.0,0,0,0,0.0,0,0,0,0,0,View Bio
21,"Chickey, Jody  21 Chickey, Jody",23,1.0,160,7.0,6,20,0.3,0,4,0.0,6,11,0.545,18,0.8,2,14,16,0.7,14,20,27,3,1,View Bio
03,"Mocniak, Melanie  03 Mocniak, Melanie",17,0.0,89,5.2,3,20,0.15,2,7,0.286,1,2,0.5,9,0.5,3,5,8,0.5,18,2,7,3,3,View Bio
TM,Team  TM Team,31,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,67,62,129,4.2,0,0,23,0,0,
,Total,31,,6300,203.2,661,1675,0.395,172,532,0.323,321,425,0.755,1815,58.55,330,697,1027,33.1,508,413,532,276,94,
,Opponents,31,,6301,203.3,689,1778,0.388,134,412,0.325,381,520,0.733,1893,61.06,469,724,1193,38.5,451,395,539,236,98,
