Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
,Total,30,,6025,200.8,690,1698,0.406,166,465,0.357,402,559,0.719,1948,64.93,333,808,1141,38.0,573,425,548,206,102
,Opponents,30,,6025,200.8,711,1845,0.385,226,688,0.328,473,648,0.73,2121,70.7,409,765,1174,39.1,554,466,446,236,89
