Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
44,Tori Jarosz,31,31.0,1027,33.1,205,430,0.477,1,11,0.091,173,211,0.82,584,18.8,88,288,376,12.1,58,52,73,15,94
05,Sydney Coffey,32,32.0,1090,34.1,146,331,0.441,45,142,0.317,160,206,0.777,497,15.5,22,104,126,3.9,53,114,62,41,6
04,Allie Clement,30,29.0,891,29.7,96,291,0.33,72,195,0.369,13,22,0.591,277,9.2,11,75,86,2.9,44,48,56,26,7
10,Maura Fitzpatrick,32,27.0,1002,31.3,69,196,0.352,21,76,0.276,30,41,0.732,189,5.9,53,81,134,4.2,53,30,59,24,4
01,Claire Oberdorf,32,20.0,706,22.1,38,108,0.352,16,57,0.281,38,53,0.717,130,4.1,22,75,97,3.0,72,36,68,17,0
15,Kendall Baab,27,1.0,261,9.7,26,74,0.351,13,45,0.289,4,4,1.0,69,2.6,10,16,26,1.0,20,6,15,4,7
02,Eileen Van Horn,31,10.0,558,18.0,26,65,0.4,14,43,0.326,12,22,0.545,78,2.5,10,54,64,2.1,32,48,41,19,2
25,Lovisa Henningsdottir,30,4.0,271,9.0,25,68,0.368,12,38,0.316,6,11,0.545,68,2.3,2,37,39,1.3,30,15,24,7,10
21,Rebecka Garderyd,19,6.0,221,11.6,8,34,0.235,3,17,0.176,11,15,0.733,30,1.6,5,12,17,0.9,9,12,26,2,1
22,Morgan Bartner,31,2.0,272,8.8,18,55,0.327,8,29,0.276,5,8,0.625,49,1.6,10,26,36,1.2,31,24,26,10,5
11,Casey Davidson,14,0.0,49,3.5,3,11,0.273,1,5,0.2,4,11,0.364,11,0.8,3,3,6,0.4,1,1,2,0,1
24,Sydnie Rosales,12,0.0,52,4.3,2,13,0.154,2,11,0.182,0,0,0.0,6,0.5,1,5,6,0.5,5,2,3,1,2
