#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
03,"Kerner, Erin  03 Kerner, Erin",2,2.0,70,35.0,14,35,0.4,2,12,0.167,13,14,0.929,43,21.5,4,6,10,5.0,7,6,4,2,0,View Bio
23,"Pennewell, Mandy  23 Pennewell, Mandy",2,2.0,70,35.0,14,30,0.467,5,13,0.385,1,2,0.5,34,17.0,6,13,19,9.5,1,4,6,4,0,View Bio
10,"Rooney, Brianna  10 Rooney, Brianna",2,2.0,61,30.5,10,15,0.667,3,5,0.6,2,4,0.5,25,12.5,5,8,13,6.5,7,7,5,6,0,View Bio
33,"Neyens, Kathleen  33 Neyens, Kathleen",2,2.0,60,30.0,5,16,0.313,1,2,0.5,5,5,1.0,16,8.0,2,4,6,3.0,5,6,4,6,0,View Bio
15,"Barron, Felicia  15 Barron, Felicia",1,0.0,17,17.0,4,9,0.444,0,4,0.0,0,1,0.0,8,8.0,0,1,1,1.0,2,0,2,2,0,View Bio
51,"Mann, Jacki  51 Mann, Jacki",2,0.0,35,17.5,3,6,0.5,0,0,0.0,1,3,0.333,7,3.5,0,4,4,2.0,6,1,3,2,0,View Bio
22,"Lazos, Krystal  22 Lazos, Krystal",2,1.0,25,12.5,1,4,0.25,0,0,0.0,4,6,0.667,6,3.0,0,5,5,2.5,4,0,3,0,0,View Bio
21,"Dunbar, Jacinda  21 Dunbar, Jacinda",2,1.0,27,13.5,2,7,0.286,0,0,0.0,0,0,0.0,4,2.0,2,4,6,3.0,4,0,1,0,1,View Bio
12,"Pratt, Lailah  12 Pratt, Lailah",2,0.0,23,11.5,1,1,1.0,0,0,0.0,0,0,0.0,2,1.0,2,6,8,4.0,2,1,4,0,0,View Bio
24,"Adams, Ashley  24 Adams, Ashley",1,0.0,4,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,1,1.0,0,1,2,0,0,View Bio
32,"McGowan, Sarah  32 McGowan, Sarah",1,0.0,7,7.0,0,2,0.0,0,2,0.0,0,0,0.0,0,0.0,0,2,2,2.0,1,0,2,0,0,View Bio
TM,Team  TM Team,2,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,3,3,6,3.0,0,0,2,0,0,
,Total,2,,399,199.5,54,125,0.432,11,38,0.289,26,35,0.743,145,72.5,24,57,81,40.5,39,26,38,22,1,
,Opponents,2,,400,200.0,38,116,0.328,11,37,0.297,24,40,0.6,111,55.5,25,54,79,39.5,33,17,47,12,4,
