#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
03,"Bresee, Kendall  03 Bresee, Kendall",28,27.0,981,35.0,135,355,0.38,33,123,0.268,115,161,0.714,418,14.9,24,179,203,7.3,58,111,87,33,26,View Bio
10,"Harrison, Michaela  10 Harrison, Michaela",29,29.0,930,32.1,110,270,0.407,60,164,0.366,46,49,0.939,326,11.2,8,44,52,1.8,45,25,41,36,8,View Bio
13,"Taylor, Aryna  13 Taylor, Aryna",20,9.0,509,25.5,66,163,0.405,37,96,0.385,19,24,0.792,188,9.4,4,33,37,1.9,47,22,47,11,3,View Bio
21,"Agentowicz, Kayla  21 Agentowicz, Kayla",29,28.0,823,28.4,102,205,0.498,37,84,0.44,30,37,0.811,271,9.3,26,91,117,4.0,68,51,73,31,7,View Bio
00,"Hunt, Isabella  00 Hunt, Isabella",29,28.0,652,22.5,74,162,0.457,3,4,0.75,40,64,0.625,191,6.6,63,110,173,6.0,78,45,69,35,8,View Bio
14,"Tomasetti, Jessica  14 Tomasetti, Jessica",29,22.0,788,27.2,70,151,0.464,20,58,0.345,29,37,0.784,189,6.5,36,57,93,3.2,42,45,31,19,3,View Bio
02,"Borgosz, Tess  02 Borgosz, Tess",26,1.0,363,14.0,38,110,0.345,4,18,0.222,13,20,0.65,93,3.6,14,56,70,2.7,47,6,40,7,12,View Bio
15,"Lindsay-Huskey, Jasmine  15 Lindsay-Huskey, Jasmine",21,1.0,302,14.4,26,62,0.419,18,46,0.391,3,5,0.6,73,3.5,5,21,26,1.2,32,8,12,7,4,View Bio
11,"Lee, Jada  11 Lee, Jada",28,0.0,428,15.3,37,87,0.425,6,26,0.231,13,19,0.684,93,3.3,24,41,65,2.3,52,29,51,25,3,View Bio
05,"Bailey, Abby  05 Bailey, Abby",4,0.0,24,6.0,3,6,0.5,0,0,0.0,3,4,0.75,9,2.3,4,5,9,2.3,7,1,1,1,1,View Bio
TM,Team  TM Team,29,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,51,72,123,4.2,0,0,11,0,0,
,Total,29,,5800,200.0,661,1571,0.421,218,619,0.352,311,420,0.74,1851,63.83,259,709,968,33.4,476,343,463,205,75,
,Opponents,29,,5800,200.0,669,1678,0.399,144,454,0.317,273,392,0.696,1755,60.52,339,693,1032,35.6,473,308,471,192,79,
