player_number,player,gp,gs,minutes_tot,minutes_avg,fg_fgm,fg_fga,fg_fg_pct,3pt,3pt_3pta,3pt_3pt_pct,ft_ftm,ft_fta,ft_ft_pct,scoring_pts,scoring_avg,rebounds_off,rebounds_def,rebounds_tot,rebounds_avg,pf,ast,to,stl,blk,college,season
2,Tessa Engelman,31.0,14.0,598.0,19.3,46,120.0,0.383,8,36.0,0.222,19,28.0,0.679,119.0,3.8,22,65,87.0,2.8,72,22,35,12,30.0,mount st marys,2024-25
20,Jaedyn Jamison,24.0,16.0,514.0,21.4,25,65.0,0.385,11,29.0,0.379,20,32.0,0.625,81.0,3.4,19,98,117.0,4.9,57,27,25,20,17.0,mount st marys,2024-25
6,Rosa Revueltas Pareja,30.0,0.0,418.0,13.9,34,90.0,0.378,12,39.0,0.308,18,21.0,0.857,98.0,3.3,12,39,51.0,1.7,52,23,38,19,3.0,mount st marys,2024-25
1,Wesleigh Ferguson,19.0,0.0,178.0,9.4,10,20.0,0.5,0,0.0,0.0,13,24.0,0.542,33.0,1.7,9,11,20.0,1.1,26,3,8,5,1.0,mount st marys,2024-25
11,Heather Middleton,11.0,0.0,77.0,7.0,5,21.0,0.238,5,19.0,0.263,2,2.0,1.0,17.0,1.5,2,9,11.0,1.0,4,1,2,3,2.0,mount st marys,2024-25
24,Jacqueline Brewer,28.0,28.0,998.0,35.6,139,339.0,0.41,65,161.0,0.404,46,65.0,0.708,389.0,13.9,22,96,118.0,4.2,34,33,47,29,7.0,mount st marys,2014-15
42,Jenn Carney,28.0,28.0,821.0,29.3,84,211.0,0.398,48,118.0,0.407,104,116.0,0.897,320.0,11.4,10,61,71.0,2.5,85,53,68,22,7.0,mount st marys,2014-15
44,Sarafina Arthur-Williams,30.0,28.0,851.0,28.4,99,215.0,0.46,0,1.0,0.0,33,54.0,0.611,231.0,7.7,72,133,205.0,6.8,77,28,48,39,19.0,mount st marys,2014-15
25,Jessica Harris,27.0,24.0,699.0,25.9,68,193.0,0.352,23,60.0,0.383,25,39.0,0.641,184.0,6.8,34,71,105.0,3.9,72,21,67,38,4.0,mount st marys,2014-15
21,Jody Chickey,30.0,30.0,884.0,29.5,64,191.0,0.335,7,38.0,0.184,50,65.0,0.769,185.0,6.2,26,54,80.0,2.7,80,90,133,27,6.0,mount st marys,2014-15
3,Kathleen Belanger-Finn,30.0,1.0,508.0,16.9,37,121.0,0.306,14,48.0,0.292,52,72.0,0.722,140.0,4.7,11,34,45.0,1.5,38,42,72,15,2.0,mount st marys,2014-15
11,Katrice Dickson,23.0,0.0,204.0,8.9,23,59.0,0.39,6,15.0,0.4,12,16.0,0.75,64.0,2.8,6,17,23.0,1.0,15,8,24,7,1.0,mount st marys,2014-15
45,Kaitlyn Eisenhard,2.0,2.0,28.0,14.0,2,7.0,0.286,0,0.0,0.0,1,2.0,0.5,5.0,2.5,6,8,14.0,7.0,5,1,4,1,2.0,mount st marys,2014-15
5,Jayla Leftwich,25.0,0.0,202.0,8.1,23,55.0,0.418,0,0.0,0.0,6,14.0,0.429,52.0,2.1,14,31,45.0,1.8,33,3,14,1,6.0,mount st marys,2014-15
12,Kayla Bates,30.0,9.0,544.0,18.1,19,66.0,0.288,8,35.0,0.229,13,20.0,0.65,59.0,2.0,13,49,62.0,2.1,39,31,44,8,2.0,mount st marys,2014-15
13,Stacey Koutris,26.0,0.0,173.0,6.7,18,44.0,0.409,3,18.0,0.167,6,8.0,0.75,45.0,1.7,17,29,46.0,1.8,14,6,10,8,1.0,mount st marys,2014-15
32,Caroline Hummell,22.0,0.0,145.0,6.6,12,27.0,0.444,0,0.0,0.0,11,15.0,0.733,35.0,1.6,6,7,13.0,0.6,22,3,4,6,5.0,mount st marys,2014-15
22,Jackie Buzaid,10.0,0.0,18.0,1.8,2,4.0,0.5,1,3.0,0.333,1,2.0,0.5,6.0,0.6,0,0,0.0,0.0,1,1,0,1,0.0,mount st marys,2014-15
22,Jessica Tomasetti,31.0,31.0,1069.0,34.5,161,413.0,0.39,41,128.0,0.32,56,72.0,0.778,419.0,13.5,33,92,125.0,4.0,43,63,64,42,4.0,mount st marys,2023-24
4,Jo Raflo,31.0,31.0,988.0,31.9,137,402.0,0.341,67,202.0,0.332,36,54.0,0.667,377.0,12.2,9,92,101.0,3.3,51,45,56,34,24.0,mount st marys,2023-24
11,Jada Lee,30.0,28.0,931.0,31.0,100,271.0,0.369,18,81.0,0.222,54,67.0,0.806,272.0,9.1,40,89,129.0,4.3,60,71,86,61,7.0,mount st marys,2023-24
0,Isabella Hunt,31.0,31.0,963.0,31.1,107,236.0,0.453,1,11.0,0.091,59,78.0,0.756,274.0,8.8,59,179,238.0,7.7,91,78,78,49,8.0,mount st marys,2023-24
6,Rosa Revueltas,20.0,0.0,253.0,12.7,25,80.0,0.313,13,48.0,0.271,10,17.0,0.588,73.0,3.7,4,21,25.0,1.3,31,7,39,11,3.0,mount st marys,2023-24
1,KC Carter,12.0,0.0,93.0,7.8,12,33.0,0.364,6,23.0,0.261,7,10.0,0.7,37.0,3.1,1,10,11.0,0.9,10,1,8,1,1.0,mount st marys,2023-24
12,Giana Hoddinott,27.0,0.0,463.0,17.1,25,81.0,0.309,6,27.0,0.222,9,17.0,0.529,65.0,2.4,29,31,60.0,2.2,31,40,26,26,3.0,mount st marys,2023-24
50,Jackie Christ,14.0,5.0,163.0,11.6,16,30.0,0.533,0,0.0,0.0,0,0.0,0.0,32.0,2.3,10,14,24.0,1.7,23,1,21,1,2.0,mount st marys,2023-24
20,Jaedyn Jamison,31.0,23.0,623.0,20.1,26,74.0,0.351,4,26.0,0.154,6,16.0,0.375,62.0,2.0,30,81,111.0,3.6,51,20,29,25,22.0,mount st marys,2023-24
2,Tessa Engelman,27.0,3.0,368.0,13.6,16,58.0,0.276,2,17.0,0.118,7,13.0,0.538,41.0,1.5,16,31,47.0,1.7,50,11,23,12,15.0,mount st marys,2023-24
3,Maddie Novak,18.0,3.0,184.0,10.2,8,55.0,0.145,3,41.0,0.073,8,17.0,0.471,27.0,1.5,6,23,29.0,1.6,31,2,13,2,1.0,mount st marys,2023-24
33,McKenzie Matheny,16.0,0.0,116.0,7.3,5,16.0,0.313,0,2.0,0.0,0,2.0,0.0,10.0,0.6,6,12,18.0,1.1,18,3,9,3,1.0,mount st marys,2023-24
13,Aniya Walker,4.0,0.0,11.0,2.8,1,3.0,0.333,0,1.0,0.0,0,1.0,0.0,2.0,0.5,0,3,3.0,0.8,2,0,4,0,0.0,mount st marys,2023-24
22,Sydney Henderson,33.0,33.0,1216.0,36.8,193,462.0,0.418,67,170.0,0.394,111,140.0,0.793,564.0,17.1,33,134,167.0,5.1,82,96,105,58,2.0,mount st marys,2013-14
24,Jacqueline Brewer,32.0,21.0,809.0,25.3,124,282.0,0.44,46,132.0,0.348,47,65.0,0.723,341.0,10.7,36,69,105.0,3.3,35,39,33,26,5.0,mount st marys,2013-14
32,Jessie Kaufman,33.0,17.0,816.0,24.7,106,276.0,0.384,61,158.0,0.386,20,24.0,0.833,293.0,8.9,19,106,125.0,3.8,72,24,27,5,17.0,mount st marys,2013-14
14,Ashley Christie,33.0,33.0,1076.0,32.6,92,236.0,0.39,32,97.0,0.33,65,87.0,0.747,281.0,8.5,40,87,127.0,3.8,101,140,87,79,11.0,mount st marys,2013-14
20,Kayla Grossett,32.0,22.0,738.0,23.1,73,179.0,0.408,15,38.0,0.395,56,78.0,0.718,217.0,6.8,61,95,156.0,4.9,84,34,71,23,5.0,mount st marys,2013-14
2,Rachel Mathews,31.0,27.0,503.0,16.2,73,122.0,0.598,1,1.0,1.0,34,54.0,0.63,181.0,5.8,36,81,117.0,3.8,50,20,28,9,20.0,mount st marys,2013-14
42,Jenn Carney,32.0,0.0,393.0,12.3,43,85.0,0.506,25,47.0,0.532,55,64.0,0.859,166.0,5.2,11,40,51.0,1.6,49,21,17,18,1.0,mount st marys,2013-14
21,Jody Chickey,33.0,11.0,471.0,14.3,27,85.0,0.318,3,16.0,0.188,34,53.0,0.642,91.0,2.8,20,24,44.0,1.3,62,53,59,9,3.0,mount st marys,2013-14
13,Mariah Powell,24.0,0.0,126.0,5.3,17,32.0,0.531,0,0.0,0.0,13,15.0,0.867,47.0,2.0,6,21,27.0,1.1,14,2,8,3,2.0,mount st marys,2013-14
