Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
23,Rebekah Hand,30,30.0,970,32.3,193,370,0.522,70,172,0.407,85,97,0.876,541,18.0,57,103,160,5.3,49,103,56,36,7
03,Alana Gilmer,30,30.0,923,30.8,218,415,0.525,20,60,0.333,57,95,0.6,513,17.1,20,134,154,5.1,52,77,60,33,12
00,Grace Vander Weide,30,30.0,923,30.8,120,251,0.478,46,108,0.426,56,76,0.737,342,11.4,54,153,207,6.9,46,189,96,37,12
21,Willow Duffell,25,22.0,630,25.2,82,146,0.562,4,13,0.308,20,31,0.645,188,7.5,41,110,151,6.0,37,45,31,15,16
24,Sarah Barcello,24,21.0,510,21.3,58,132,0.439,24,75,0.32,12,23,0.522,152,6.3,18,38,56,2.3,43,30,21,12,2
31,Molly Smith,30,8.0,511,17.0,50,112,0.446,22,54,0.407,11,14,0.786,133,4.4,15,59,74,2.5,43,25,18,16,12
20,Hannah Hand,25,2.0,224,9.0,30,59,0.508,11,30,0.367,9,12,0.75,80,3.2,14,17,31,1.2,23,12,11,7,2
02,Allie Best,30,7.0,611,20.4,26,84,0.31,17,53,0.321,15,18,0.833,84,2.8,5,46,51,1.7,37,87,40,18,2
33,Kendall Krick,29,0.0,271,9.3,25,65,0.385,10,36,0.278,9,11,0.818,69,2.4,7,28,35,1.2,13,9,10,9,0
05,Trinasia Kennedy,26,0.0,166,6.4,18,53,0.34,7,23,0.304,10,23,0.435,53,2.0,3,12,15,0.6,17,11,29,12,1
01,Claire Oberdorf,14,0.0,105,7.5,4,10,0.4,0,2,0.0,6,10,0.6,14,1.0,9,18,27,1.9,8,7,5,1,0
13,Julianna Bonilla,18,0.0,51,2.8,5,15,0.333,1,7,0.143,3,7,0.429,14,0.8,0,6,6,0.3,10,3,6,0,1
32,Samantha Bailey,21,0.0,106,5.0,5,16,0.313,0,2,0.0,4,8,0.5,14,0.7,3,6,9,0.4,8,3,3,2,2
11,Camille Loussedes,9,0.0,14,1.6,1,3,0.333,0,1,0.0,0,0,0.0,2,0.2,0,1,1,0.1,0,0,1,1,0
