#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
05,"Edwards, Shaquana  05 Edwards, Shaquana",26,26.0,739,28.4,114,283,0.403,39,104,0.375,59,88,0.67,326,12.5,8,60,68,2.6,32,94,63,42,0,
02,"Herd, Taylor  02 Herd, Taylor",27,27.0,807,29.9,92,243,0.379,44,136,0.324,38,53,0.717,266,9.9,15,81,96,3.6,59,36,49,23,6,View Bio
30,"Morris, Mikala  30 Morris, Mikala",21,15.0,476,22.7,82,185,0.443,3,20,0.15,37,61,0.607,204,9.7,48,89,137,6.5,47,14,47,14,19,View Bio
22,"DeWees, Mackenzie  22 DeWees, Mackenzie",29,18.0,824,28.4,90,251,0.359,9,45,0.2,64,98,0.653,253,8.7,47,89,136,4.7,54,98,59,51,5,View Bio
20,"Warfel, Paige  20 Warfel, Paige",29,29.0,930,32.1,68,217,0.313,7,33,0.212,99,128,0.773,242,8.3,130,192,322,11.1,83,55,50,38,18,View Bio
15,"Haywood, Cur'Tiera  15 Haywood, Cur'Tiera",29,17.0,619,21.3,77,165,0.467,26,70,0.371,46,68,0.676,226,7.8,48,60,108,3.7,56,24,42,17,15,View Bio
23,"Bonner, Sajada  23 Bonner, Sajada",29,7.0,553,19.1,66,184,0.359,26,87,0.299,22,32,0.688,180,6.2,16,29,45,1.6,65,8,17,12,6,View Bio
10,"Ward, Jaden  10 Ward, Jaden",29,4.0,488,16.8,56,141,0.397,4,26,0.154,34,58,0.586,150,5.2,48,71,119,4.1,49,24,48,19,13,View Bio
24,"Free, Amani  24 Free, Amani",20,2.0,184,9.2,17,63,0.27,5,21,0.238,10,17,0.588,49,2.5,4,15,19,1.0,16,9,16,1,0,View Bio
33,"Bacchini, Chiara  33 Bacchini, Chiara",15,0.0,115,7.7,9,29,0.31,2,10,0.2,1,2,0.5,21,1.4,4,4,8,0.5,16,6,7,6,0,View Bio
11,"Almeida, Cat  11 Almeida, Cat",15,0.0,65,4.3,6,15,0.4,2,7,0.286,0,0,0.0,14,0.9,3,14,17,1.1,10,3,4,1,4,View Bio
TM,Team  TM Team,29,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,51,48,99,3.4,0,0,28,0,0,
,Total,29,,5800,200.0,677,1776,0.381,167,559,0.299,410,605,0.678,1931,66.59,422,752,1174,40.5,487,371,430,224,86,
,Opponents,29,,5800,200.0,738,1736,0.425,191,537,0.356,289,438,0.66,1956,67.45,300,751,1051,36.2,541,376,451,205,94,
