Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
,Total,27,,5428,201.0,601,1519,0.396,153,521,0.294,266,387,0.687,1621,60.04,229,719,948,35.1,453,407,433,250,113
,Opponents,27,,5425,200.9,572,1615,0.354,132,447,0.295,270,392,0.689,1546,57.26,373,735,1108,41.0,419,363,497,190,78
