Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
,Total,24,,4831,201.3,620,1477,0.42,199,583,0.341,281,354,0.794,1720,71.67,294,627,921,38.4,408,327,363,218,89
,Opponents,24,,4850,202.1,532,1374,0.387,118,383,0.308,298,401,0.743,1480,61.67,256,596,852,35.5,366,304,403,163,94
