Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
,Total,16,,3200,200.0,351,869,0.404,119,319,0.373,124,176,0.705,945,59.06,149,380,529,33.1,217,229,219,118,60
,Opponents,16,,3200,200.0,315,873,0.361,105,346,0.303,126,187,0.674,861,53.81,196,381,577,36.1,213,180,248,102,32
