Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
23,Rebekah Hand,31,31.0,1017,32.8,163,369,0.442,62,159,0.39,110,117,0.94,498,16.1,80,113,193,6.2,62,73,77,32,4
03,Alana Gilmer,33,32.0,1046,31.7,199,419,0.475,26,78,0.333,89,112,0.795,513,15.5,30,144,174,5.3,76,91,80,21,24
10,Maura Fitzpatrick,34,34.0,1210,35.6,137,311,0.441,28,113,0.248,71,111,0.64,373,11.0,50,128,178,5.2,72,72,62,38,11
00,Grace Vander Weide,24,23.0,780,32.5,70,175,0.4,18,63,0.286,57,78,0.731,215,9.0,38,122,160,6.7,43,101,74,29,17
04,Allie Clement,9,4.0,213,23.7,19,64,0.297,8,41,0.195,6,11,0.545,52,5.8,3,13,16,1.8,11,11,19,7,0
02,Allie Best,34,11.0,727,21.4,62,145,0.428,32,80,0.4,32,42,0.762,188,5.5,9,54,63,1.9,39,62,59,17,5
21,Willow Duffell,34,27.0,748,22.0,64,151,0.424,0,2,0.0,34,63,0.54,162,4.8,61,133,194,5.7,68,24,42,14,22
20,Hannah Hand,16,0.0,248,15.5,25,49,0.51,15,33,0.455,10,12,0.833,75,4.7,7,13,20,1.3,16,13,9,5,1
05,Lovisa Henningsdottir,20,2.0,274,13.7,28,86,0.326,11,44,0.25,2,5,0.4,69,3.5,12,38,50,2.5,22,6,16,7,11
25,Gabi Redden,22,0.0,131,6.0,26,67,0.388,0,1,0.0,24,28,0.857,76,3.5,11,30,41,1.9,21,5,9,8,2
15,Kendall Baab,27,2.0,258,9.6,19,49,0.388,6,14,0.429,10,14,0.714,54,2.0,6,28,34,1.3,32,21,17,6,7
31,Molly Smith,19,4.0,201,10.6,8,41,0.195,3,16,0.188,15,20,0.75,34,1.8,11,17,28,1.5,11,6,8,10,7
01,Claire Oberdorf,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0
