#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
05,"Smith, Antonia  05 Smith, Antonia",4,4.0,151,37.8,22,46,0.478,5,18,0.278,5,10,0.5,54,13.5,4,9,13,3.3,10,7,11,2,0,View Bio
34,"Bent, Kaydine  34 Bent, Kaydine",25,24.0,771,30.8,112,245,0.457,0,1,0.0,99,136,0.728,323,12.9,75,160,235,9.4,54,26,81,20,2,View Bio
34,"Bent, Kaydine  34 Bent, Kaydine",4,4.0,134,33.5,15,28,0.536,0,1,0.0,14,21,0.667,44,11.0,4,23,27,6.8,9,0,11,2,4,View Bio
14,"Mostafa, Hala  14 Mostafa, Hala",4,0.0,74,18.5,11,22,0.5,5,8,0.625,9,14,0.643,36,9.0,3,7,10,2.5,9,2,10,3,3,View Bio
03,"May, Aziza  03 May, Aziza",26,16.0,746,28.7,83,238,0.349,29,89,0.326,36,54,0.667,231,8.9,14,83,97,3.7,55,53,70,21,5,View Bio
05,"Smith, Antonia  05 Smith, Antonia",26,16.0,786,30.2,87,257,0.339,17,74,0.23,36,50,0.72,227,8.7,36,59,95,3.7,63,41,58,18,5,View Bio
03,"May, Aziza  03 May, Aziza",4,4.0,120,30.0,13,41,0.317,3,12,0.25,2,6,0.333,31,7.8,2,15,17,4.3,11,12,16,2,2,View Bio
50,"Whitfield, Bridget  50 Whitfield, Bridget",4,2.0,117,29.3,7,19,0.368,5,12,0.417,4,6,0.667,23,5.8,5,6,11,2.8,11,2,0,1,0,View Bio
14,"Mostafa, Hala  14 Mostafa, Hala",26,8.0,551,21.2,46,144,0.319,19,68,0.279,18,31,0.581,129,5.0,8,69,77,3.0,58,36,46,8,38,View Bio
04,"Senatus, Marcia  04 Senatus, Marcia",8,0.0,124,15.5,13,31,0.419,0,4,0.0,13,25,0.52,39,4.9,1,11,12,1.5,17,10,15,8,0,View Bio
04,"Senatus, Marcia  04 Senatus, Marcia",2,2.0,55,27.5,2,11,0.182,1,2,0.5,4,8,0.5,9,4.5,0,5,5,2.5,3,1,6,1,0,View Bio
50,"Whitfield, Bridget  50 Whitfield, Bridget",26,26.0,735,28.3,31,121,0.256,12,65,0.185,13,20,0.65,87,3.3,24,62,86,3.3,57,21,34,7,2,View Bio
45,"Ingram, Neechelle  45 Ingram, Neechelle",26,20.0,511,19.7,35,91,0.385,1,1,1.0,14,44,0.318,85,3.3,45,50,95,3.7,72,6,45,6,3,View Bio
33,"Garrett, Kylie  33 Garrett, Kylie",24,10.0,258,10.8,24,59,0.407,19,42,0.452,8,9,0.889,75,3.1,4,21,25,1.0,21,10,13,2,1,View Bio
32,"DeVoogd, Kaycee  32 DeVoogd, Kaycee",3,0.0,46,15.3,1,5,0.2,0,0,0.0,4,4,1.0,6,2.0,2,3,5,1.7,5,0,1,0,1,View Bio
12,"Corchado, Teresa  12 Corchado, Teresa",25,10.0,488,19.5,13,60,0.217,6,25,0.24,15,27,0.556,47,1.9,2,38,40,1.6,38,32,55,8,0,View Bio
12,"Corchado, Teresa  12 Corchado, Teresa",4,0.0,47,11.8,1,5,0.2,0,2,0.0,3,5,0.6,5,1.3,2,10,12,3.0,4,2,7,0,0,View Bio
32,"DeVoogd, Kaycee  32 DeVoogd, Kaycee",24,0.0,213,8.9,9,31,0.29,1,4,0.25,7,9,0.778,26,1.1,7,16,23,1.0,17,2,11,1,1,View Bio
45,"Ingram, Neechelle  45 Ingram, Neechelle",4,4.0,67,16.8,1,5,0.2,0,0,0.0,2,6,0.333,4,1.0,0,13,13,3.3,8,0,15,2,0,View Bio
24,"Young, Khadijah  24 Young, Khadijah",7,0.0,16,2.3,1,2,0.5,1,2,0.5,0,0,0.0,3,0.4,1,1,2,0.3,0,2,1,0,0,View Bio
24,"Young, Khadijah  24 Young, Khadijah",3,0.0,7,2.3,0,2,0.0,0,2,0.0,1,2,0.5,1,0.3,0,2,2,0.7,0,0,0,0,0,View Bio
33,"Garrett, Kylie  33 Garrett, Kylie",2,0.0,7,3.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,1,0.5,0,0,0,0,0,View Bio
TM,Team  TM Team,30,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,50,71,121,4.0,0,0,26,0,0,
,Total,30,,6024,200.8,527,1463,0.36,124,432,0.287,307,487,0.63,1485,49.5,289,735,1024,34.1,522,265,532,112,67,
,Opponents,30,,6020,200.7,689,1661,0.415,155,488,0.318,393,559,0.703,1926,64.2,317,731,1048,34.9,493,375,335,257,90,
