Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
,Total,30,,6000,200.0,660,1693,0.39,175,512,0.342,336,470,0.715,1831,61.03,336,727,1063,35.4,451,331,520,181,67
,Opponents,30,,6000,200.0,832,1891,0.44,255,724,0.352,259,373,0.694,2178,72.6,374,733,1107,36.9,468,530,391,247,132
