Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
11,Lou Lopez-Senechal,22,22.0,676,30.7,92,222,0.414,21,64,0.328,54,63,0.857,259,11.8,32,71,103,4.7,61,40,45,26,11
13,Khadidiatou Diouf,31,31.0,1019,32.9,139,324,0.429,2,7,0.286,54,81,0.667,334,10.8,82,156,238,7.7,68,36,73,11,15
15,Katie Armstrong,31,31.0,1054,34.0,125,336,0.372,14,55,0.255,62,78,0.795,326,10.5,50,95,145,4.7,75,45,71,27,12
14,Casey Foley,31,31.0,1081,34.9,115,291,0.395,69,185,0.373,28,40,0.7,327,10.5,30,108,138,4.5,103,125,87,68,3
02,Sam Kramer,29,27.0,979,33.8,69,175,0.394,35,94,0.372,38,44,0.864,211,7.3,19,65,84,2.9,52,105,69,17,1
20,Kendra Landy,7,2.0,189,27.0,10,30,0.333,2,11,0.182,6,6,1.0,28,4.0,1,16,17,2.4,11,25,17,9,4
30,Sam Lewis,27,8.0,285,10.6,26,87,0.299,16,56,0.286,7,7,1.0,75,2.8,11,36,47,1.7,26,14,26,9,5
41,Andrea Hernangomez,31,0.0,356,11.5,37,93,0.398,5,13,0.385,8,17,0.471,87,2.8,29,50,79,2.5,49,13,30,12,7
12,Eden Nibbelink,24,0.0,219,9.1,14,62,0.226,13,58,0.224,5,7,0.714,46,1.9,9,30,39,1.6,23,7,13,6,4
22,Rachel Hakes,29,3.0,315,10.9,7,23,0.304,1,6,0.167,20,28,0.714,35,1.2,6,25,31,1.1,29,28,33,7,0
40,Molly Bauer,15,0.0,61,4.1,2,13,0.154,0,0,0.0,2,6,0.333,6,0.4,7,7,14,0.9,12,1,3,0,7
44,Nicole Bus,4,0.0,6,1.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,1,1,2,0.5,1,0,1,0,0
32,Jazmine Carter,2,0.0,4,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0,0
31,Meagan Morelli,3,0.0,6,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0
