Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
,Total,30,,6050,201.7,514,1475,0.348,160,594,0.269,329,476,0.691,1517,50.57,295,688,983,32.8,510,320,664,278,65
,Opponents,30,,6050,201.7,686,1663,0.413,203,615,0.33,298,444,0.671,1873,62.43,328,698,1026,34.2,493,445,518,323,95
