Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
,Total,25,,5050,202.0,528,1405,0.376,125,417,0.3,270,392,0.689,1451,58.04,252,607,859,34.4,503,254,412,163,62
,Opponents,25,,5050,202.0,567,1410,0.402,133,455,0.292,331,482,0.687,1598,63.92,293,673,966,38.6,421,289,399,171,67
