college,season,player_number_ind,player_ind,gp_ind,gs_ind,minutes_tot_ind,scoring_pts_ind,rebounds_tot_ind,ast_ind,stl_ind,blk_ind,to_ind,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,to_per40,eFG_pct,TS_pct,USG_pct,ORB_pct,DRB_pct,AST_pct,AST_per_TO,3pt_3pt_pct_ind,three_per40,threeA_per40,three_per100,threeA_rate,DRCR,STL_TO_ratio,def_stops_per100,DPMR,TUSG_pct,Gravity,PPT,Spacing,Assist_to_Usage,APC,PEF,OEFF,TOV_pct,SEM,PEI,BoxCreation,OLI,IPM,threeA_per100,2pt_pct,FTr,PPP,possessions,scoring_pts_per100,ast_per100,rebounds_tot_per100,stl_per100,blk_per100,to_per100,mins_per_game,pts_per_game,ast_per_game,reb_per_game,stl_per_game,blk_per_game,to_per_game,scoring_pts_share,ast_share,rebounds_tot_share,stl_share,blk_share,to_share,team_TS_pct,TS_diff,ast_per_fgm,tov_rate,game_score,game_score_per40,min_share
manhattan,2017-18,35,Kayla Grimme,31,30.0,951,460,263,36,25,56,71,19.348054679284964,11.062039957939012,1.5141955835962144,1.0515247108307044,2.355415352260778,2.9863301787592005,0.45714285714285713,0.4994788047255038,145.5955982228436,13.38199513381995,28.977272727272727,33.64485981308411,0.5070422535211268,0.257,1.0935856992639328,4.2481598317560465,4.891999698953865,0.24047619047619048,14.69270166453265,0.352112676056338,169.24886969149614,0.004135333773403612,0.05162192917468198,17.487889173185003,0.0075224665675475725,4.883909084067133,0.23108430414733702,1.1032512941052721,17.059365539028562,0.1628485780764706,0.7880139461082973,0.024467830874622787,0.1632025967244629,370.38311491290835,39.232378544011866,0.10011129263292565,19.003537292090012,0.3883248730964467,0.21904761904761905,1.0952380952380953,531.48,86.55076390456837,6.77353804470535,49.484458493264086,4.703845864378716,10.536614736208323,13.358922254835553,30.677419354838708,14.838709677419354,1.1612903225806452,8.483870967741936,0.8064516129032258,1.8064516129032258,2.2903225806451615,0.253025302530253,0.08571428571428572,0.24195032198712052,0.09090909090909091,0.49557522123893805,0.14343434343434344,0.47501097385088104,0.024467830874622787,0.2011173184357542,0.13358922254835554,395.4,16.630914826498422,4.6981673306772915
manhattan,2017-18,15,Amani Tatum,31,31.0,1041,399,125,137,83,2,96,15.331412103746398,4.803073967339097,5.26416906820365,3.1892411143131607,0.07684918347742555,3.6887608069164264,0.5044910179640718,0.532738731040376,117.74223426468427,3.5230352303523036,20.88607594936709,58.798283261802574,1.4270833333333333,0.394,2.728146013448607,6.9164265129683,15.09097092331236,0.5389221556886228,29.80617088607595,0.8645833333333334,116.33146545730835,0.00466927075403186,0.06098002242969552,33.804349475942466,0.01014598274309798,15.073967012412853,0.49938137011915773,4.198484091456174,83.91005007153075,0.18025634205221724,0.714391984724866,0.05772775718949491,0.26067145204042447,342.7484397755384,87.90388762349471,0.10719324131227811,38.25879952389049,0.23574144486692014,0.2754491017964072,1.1946107784431137,470.48,84.80700561129059,29.11919741540554,26.568610780479506,17.641557558238393,0.42509777248767217,20.40469307940826,33.58064516129032,12.870967741935484,4.419354838709677,4.032258064516129,2.6774193548387095,0.06451612903225806,3.096774193548387,0.21947194719471946,0.3261904761904762,0.11499540018399264,0.3018181818181818,0.017699115044247787,0.19393939393939394,0.47501097385088104,0.05772775718949491,1.0300751879699248,0.20404693079408262,323.29999999999995,12.42267050912584,5.142788844621514
manhattan,2017-18,2,Gabby Cajou,31,1.0,915,250,71,110,66,4,72,10.928961748633881,3.1038251366120218,4.808743169398907,2.8852459016393444,0.17486338797814208,3.1475409836065578,0.5142857142857142,0.5408445829006576,86.30487621611378,2.5991792065663475,12.177985948477751,60.43956043956044,1.5277777777777777,0.296,0.6994535519125683,2.360655737704918,5.278437582475587,0.2571428571428571,18.60525631017434,0.9166666666666666,60.00707543035645,0.004921018842007824,0.062490435663472836,12.002792086130643,0.013793844620745463,5.273159144893111,0.7003028807455389,3.3710456208772204,92.33821733821733,0.27208889055585955,0.800753524463885,0.06583360904977659,0.43316551376492834,269.6768822765044,77.95752577008633,0.12907654602964572,17.81472684085511,0.4329896907216495,0.22857142857142856,1.1904761904761905,303.12,82.47558722618105,36.289258379519666,23.42306677223542,21.773555027711797,1.3196093956188968,23.75296912114014,29.516129032258064,8.064516129032258,3.5483870967741935,2.2903225806451615,2.129032258064516,0.12903225806451613,2.3225806451612905,0.13751375137513752,0.2619047619047619,0.06531738730450783,0.24,0.035398230088495575,0.14545454545454545,0.47501097385088104,0.06583360904977659,1.1,0.2375296912114014,212.70000000000005,9.298360655737707,4.520318725099602
manhattan,2017-18,30,Mikki Guiton,30,11.0,478,144,69,8,10,3,28,12.05020920502092,5.7740585774058575,0.6694560669456067,0.8368200836820083,0.2510460251046025,2.3430962343096233,0.4166666666666667,0.4435682602267127,103.72856461508442,3.5230352303523036,10.287081339712918,22.22222222222222,0.2857142857142857,0.1,0.08368200836820083,0.8368200836820083,0.5254308532997058,0.06666666666666667,2.9391660970608333,0.35714285714285715,26.408974298637798,0.0031512053360410355,0.08221409241108535,3.0673799294751434,0.009254923279938668,0.5254308532997057,0.21423433518376545,0.25333918605380323,6.349206349206349,0.3975516966143372,0.8399214203200739,-0.03144271362416834,0.36442238856314246,234.25694153703338,24.251952585119795,0.15059419538936766,5.254308532997057,0.40939597315436244,0.18666666666666668,0.96,190.32,75.66204287515762,4.203446826397647,36.254728877679696,5.254308532997057,1.5762925598991173,14.712063892391761,15.933333333333334,4.8,0.26666666666666666,2.3,0.3333333333333333,0.1,0.9333333333333333,0.07920792079207921,0.01904761904761905,0.06347746090156393,0.03636363636363636,0.02654867256637168,0.05656565656565657,0.47501097385088104,-0.03144271362416834,0.12903225806451613,0.1471206389239176,71.99999999999999,6.025104602510459,2.285258964143426
manhattan,2017-18,14,Taylor Williams,30,23.0,664,120,89,29,20,0,30,7.228915662650603,5.36144578313253,1.7469879518072289,1.2048192771084336,0.0,1.8072289156626506,0.3793103448275862,0.3946329913180742,71.4234103612537,2.73224043715847,15.54054054054054,49.152542372881356,0.9666666666666667,0.268,1.5662650602409638,5.843373493975904,14.282575258185016,0.6689655172413793,15.022522522522522,0.6666666666666666,39.276596352450014,0.0027217302946726664,0.08680269668371642,18.855484867979232,0.011587042495454428,14.280377938914524,0.6881852216579926,0.9183545494450367,47.514124293785315,0.36211587834289877,0.35999904657771653,-0.08037798253280681,0.4466095832895752,156.86073511605193,85.74400327324801,0.11499524623429987,53.28499230938255,0.13445378151260504,0.1103448275862069,0.8275862068965517,182.04,65.91957811470007,15.930564711052517,48.89035376840255,10.986596352450013,0.0,16.47989452867502,22.133333333333333,4.0,0.9666666666666667,2.966666666666667,0.6666666666666666,0.0,1.0,0.066006600660066,0.06904761904761905,0.08187672493100276,0.07272727272727272,0.0,0.06060606060606061,0.47501097385088104,-0.08037798253280681,0.6904761904761905,0.16479894528675018,90.7,5.463855421686747,3.1745019920318724
manhattan,2017-18,23,Alex Smith,27,0.0,182,107,47,2,6,8,26,23.516483516483518,10.32967032967033,0.4395604395604396,1.3186813186813187,1.7582417582417584,5.7142857142857135,0.5287356321839081,0.52698975571316,182.53609350659966,2.997275204359673,6.25,7.142857142857143,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.4807692307692308,0.23076923076923078,18.94867001254705,0.020528921627822726,0.23225724341045448,0.0,0.006737763290903147,0.0,0.03913120202326928,0.07037199612605645,0.5494505494505495,0.6580018816220823,0.9936214641423428,0.051978781862278944,0.5227117751203457,482.5416380597513,22.12423657681824,0.4179477757866466,0.0,0.5287356321839081,0.3793103448275862,1.2298850574712643,127.52,83.90840652446676,1.5683814303638646,36.85696361355082,4.705144291091594,6.273525721455458,20.388958594730237,6.7407407407407405,3.962962962962963,0.07407407407407407,1.7407407407407407,0.2222222222222222,0.2962962962962963,0.9629629629629629,0.05885588558855886,0.004761904761904762,0.04323827046918123,0.02181818181818182,0.07079646017699115,0.052525252525252523,0.47501097385088104,0.051978781862278944,0.043478260869565216,0.2038895859473024,58.599999999999994,12.879120879120878,0.7831075697211155
manhattan,2017-18,22,Courtney Warley,31,21.0,692,121,143,23,21,29,43,6.994219653179191,8.265895953757225,1.329479768786127,1.2138728323699421,1.676300578034682,2.485549132947977,0.42857142857142855,0.49868117375535775,61.862314934060116,7.049608355091384,19.18103448275862,34.84848484848485,0.5348837209302325,0.0,0.0,0.057803468208092484,0.0,0.01020408163265306,10.259623095429028,0.4883720930232558,61.946708189235466,0.0050536269170369874,0.06353621401557724,0.3147915492095989,0.019958737064394154,0.0,0.5633232324460861,0.7048549934561461,18.639887244538407,0.4481304877704362,0.9806931659349073,0.02367019990447672,0.4592411610209428,168.2449379832001,41.01205850207659,0.1327946015897353,0.6085686465433301,0.42857142857142855,0.5408163265306123,1.2346938775510203,164.32,73.63680623174295,13.997078870496594,87.02531645569621,12.77994157740993,17.648490749756572,26.168451801363197,22.322580645161292,3.903225806451613,0.7419354838709677,4.612903225806452,0.6774193548387096,0.9354838709677419,1.3870967741935485,0.06655665566556655,0.05476190476190476,0.13155473781048757,0.07636363636363637,0.25663716814159293,0.08686868686868687,0.47501097385088104,0.02367019990447672,0.5476190476190477,0.26168451801363196,142.6,8.242774566473988,3.4186454183266934
manhattan,2017-18,13,Lizahya Morgan,23,12.0,301,68,29,34,14,0,41,9.03654485049834,3.853820598006645,4.51827242524917,1.8604651162790697,0.0,5.4485049833887045,0.3620689655172414,0.37379067722075643,114.21355434941405,1.1111111111111112,5.303030303030303,45.333333333333336,0.8292682926829268,0.243,1.196013289036545,4.916943521594685,6.820248560169749,0.42528735632183906,4.397634885439763,0.34146341463414637,17.607154325920618,0.009271420845244535,0.1644941282551102,18.156351582047293,0.0068434007804109714,6.81342831160958,0.39691724526383637,1.4043802705156483,37.59349593495935,0.390502902349434,0.5934775925749733,-0.1012202966301246,0.5455555253411212,239.22519258981592,84.91972154571397,0.1888219361457206,28.038799636253415,0.23076923076923078,0.10344827586206896,0.7816091954022989,131.95999999999998,51.53076689906033,25.765383449530166,21.976356471658082,10.609275538041832,0.0,31.07002121855108,13.08695652173913,2.9565217391304346,1.4782608695652173,1.2608695652173914,0.6086956521739131,0.0,1.7826086956521738,0.0374037403740374,0.08095238095238096,0.02667893284268629,0.05090909090909091,0.0,0.08282828282828283,0.47501097385088104,-0.1012202966301246,1.2592592592592593,0.3107002121855108,18.79999999999999,2.4983388704318923,1.1032669322709163
manhattan,2017-18,5,Lynette Taitt,24,14.0,276,47,39,16,16,2,26,6.811594202898551,5.652173913043478,2.318840579710145,2.318840579710145,0.2898550724637681,3.7681159420289854,0.4051724137931034,0.3991168478260869,80.1194804982257,1.793103448275862,6.483790523690773,38.095238095238095,0.6153846153846154,0.417,0.7246376811594203,1.7391304347826086,5.89066918001885,0.20689655172413793,3.9900249376558605,0.6153846153846154,26.70985044457659,0.013652593992858642,0.1589706844209646,6.615938173637686,0.010114203454703104,5.895381715362865,0.47548028399009523,0.633347965134508,23.443223443223445,0.6523596108456773,0.6475266352938629,-0.07589412602479412,0.7356395611664021,178.73531390563772,63.63439955799669,0.23477303852346737,14.137606032045241,0.3018867924528302,0.034482758620689655,0.8103448275862069,84.88,55.3722902921772,18.85014137606032,45.94721960414703,18.85014137606032,2.35626767200754,30.631479736098022,11.5,1.9583333333333333,0.6666666666666666,1.625,0.6666666666666666,0.08333333333333333,1.0833333333333333,0.02585258525852585,0.0380952380952381,0.035878564857405704,0.05818181818181818,0.017699115044247787,0.052525252525252523,0.47501097385088104,-0.07589412602479412,0.7619047619047619,0.3063147973609802,23.500000000000007,3.4057971014492767,1.0556175298804782
manhattan,2017-18,10,Sini Mäkelä,31,11.0,364,57,38,15,7,2,14,6.263736263736264,4.175824175824176,1.6483516483516483,0.7692307692307693,0.2197802197802198,1.5384615384615385,0.31976744186046513,0.3280386740331492,72.20138453946744,0.0,9.200968523002421,51.724137931034484,1.0714285714285714,0.221,1.8681318681318682,8.461538461538462,16.851704996034893,0.8953488372093024,9.858180560359736,0.5,18.20342792625861,0.003773698828643884,0.16948991823109083,21.206199726415118,0.009179749254179812,16.86855670103093,0.7163869653897131,0.45968803921053003,55.41871921182266,0.5600988300352123,0.15497259441956063,-0.14697229981773186,0.7173195542556229,133.2933837055117,105.08556959223947,0.1824602785578686,76.32831086439334,0.028985507246376812,0.023255813953488372,0.6627906976744186,100.88,56.50277557494052,14.869151467089612,37.66851704996035,6.9389373513084855,1.9825535289452818,13.877874702616971,11.741935483870968,1.8387096774193548,0.4838709677419355,1.2258064516129032,0.22580645161290322,0.06451612903225806,0.45161290322580644,0.03135313531353135,0.03571428571428571,0.034958601655933765,0.025454545454545455,0.017699115044247787,0.028282828282828285,0.47501097385088104,-0.14697229981773186,0.7894736842105263,0.1387787470261697,25.0,2.7472527472527473,1.7982470119521914
