college,season,player_number_ind,player_ind,gp_ind,gs_ind,minutes_tot_ind,scoring_pts_ind,rebounds_tot_ind,ast_ind,stl_ind,blk_ind,to_ind,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,to_per40,eFG_pct,TS_pct,USG_pct,ORB_pct,DRB_pct,AST_pct,AST_per_TO,3pt_3pt_pct_ind,three_per40,threeA_per40,three_per100,threeA_rate,DRCR,STL_TO_ratio,def_stops_per100,DPMR,TUSG_pct,Gravity,PPT,Spacing,Assist_to_Usage,APC,PEF,OEFF,TOV_pct,SEM,PEI,BoxCreation,OLI,IPM,threeA_per100,2pt_pct,FTr,PPP,possessions,scoring_pts_per100,ast_per100,rebounds_tot_per100,stl_per100,blk_per100,to_per100,mins_per_game,pts_per_game,ast_per_game,reb_per_game,stl_per_game,blk_per_game,to_per_game,scoring_pts_share,ast_share,rebounds_tot_share,stl_share,blk_share,to_share,team_TS_pct,TS_diff,ast_per_fgm,tov_rate,game_score,game_score_per40,min_share
canisius,2014-15,4,Kayla Hoohuli,30,30.0,1001,399,99,54,46,9,40,15.944055944055943,3.956043956043956,2.1578421578421576,1.838161838161838,0.3596403596403597,1.5984015984015985,0.5540983606557377,0.5864197530864198,97.92350287696826,3.2116788321167884,19.34673366834171,57.4468085106383,1.35,0.434,2.6373626373626373,6.073926073926073,17.35928458705944,0.4983606557377049,26.11809045226131,1.15,88.02235189625138,0.0031137693475355,0.0652570065197269,28.61800003123703,0.0133593728704882,17.350867964229355,0.5866497925050426,1.7839109602286156,77.55319148936171,0.2760251529521988,0.4994108308159806,0.0908889308006932,0.3230670336558318,301.3244329181211,64.81819784237804,0.1229701375228336,39.97895844292478,0.2928870292887029,0.2622950819672131,1.3081967213114754,380.2,104.94476591267754,14.20305102577591,26.03892688058916,12.09889531825355,2.367175170962651,10.520778537611784,33.36666666666667,13.3,1.8,3.3,1.5333333333333334,0.3,1.3333333333333333,0.216260162601626,0.1512605042016806,0.1006097560975609,0.2035398230088495,0.1184210526315789,0.0824742268041237,0.4955308222857265,0.0908889308006932,0.3970588235294117,0.1052077853761178,318.7,12.735264735264735,4.963636363636364
canisius,2014-15,5,Tiahana Mills,30,29.0,972,309,114,88,48,4,116,12.71604938271605,4.6913580246913575,3.621399176954733,1.9753086419753083,0.1646090534979424,4.773662551440329,0.4817073170731707,0.5384776244249267,106.8713919167712,2.928257686676428,22.650602409638555,43.13725490196079,0.7586206896551724,0.404,0.8641975308641975,2.139917695473251,5.211952744961779,0.2113821138211382,17.18321562110511,0.4137931034482758,104.16959497834485,0.0032176666836017,0.0536252113205339,12.164586863386464,0.0117533553265618,5.213938250769384,0.4036370266346371,2.907114157409596,32.72481406355646,0.1903359473725897,0.8987222239240379,0.0429468021392002,0.2272943837556168,309.5798300752907,63.70252730675822,0.0850274469045908,12.905787749429168,0.3866666666666666,0.3780487804878049,1.2560975609756098,402.92,76.69016181872331,21.84056388364936,28.293457758363942,11.913034845626925,0.9927529038022436,28.789834210265063,32.4,10.3,2.933333333333333,3.8,1.6,0.1333333333333333,3.8666666666666663,0.1674796747967479,0.2464985994397759,0.1158536585365853,0.2123893805309734,0.0526315789473684,0.2391752577319587,0.4955308222857265,0.0429468021392002,0.8148148148148148,0.2878983421026506,209.8,8.633744855967079,4.819834710743802
canisius,2014-15,24,Crystal Porter,30,30.0,754,302,177,52,35,32,81,16.02122015915119,9.389920424403185,2.7586206896551726,1.856763925729443,1.6976127320954906,4.297082228116711,0.4535714285714285,0.4783931060702066,135.6232255231499,8.425414364640885,26.54462242562929,39.097744360902254,0.6419753086419753,0.0,0.0,0.1061007957559681,0.0,0.0071428571428571,17.040992174478063,0.4320987654320987,122.1784822809079,0.0059453032104637,0.0552919490954459,0.4634372579519985,0.0079527038594159,0.0,0.2882820499753418,1.717840183923852,25.099786503295277,0.1919614019983237,0.9922636353484506,-0.0171377162155199,0.2065809789717059,337.5162056168225,34.16318728750072,0.1136870653444892,0.5042355788624445,0.4535714285714285,0.2892857142857143,1.0785714285714283,396.64,76.13957240822913,13.110125050423555,44.624848729326345,8.82412263009278,8.067769261799112,20.421540943929003,25.133333333333333,10.066666666666666,1.7333333333333334,5.9,1.1666666666666667,1.0666666666666669,2.7,0.1636856368563685,0.1456582633053221,0.1798780487804878,0.1548672566371681,0.4210526315789473,0.1670103092783505,0.4955308222857265,-0.0171377162155199,0.4094488188976378,0.20421540943929,236.99999999999997,12.572944297082223,3.738842975206612
canisius,2014-15,31,Emily Weber,30,29.0,722,268,90,19,17,4,35,14.84764542936288,4.986149584487535,1.0526315789473684,0.9418282548476454,0.2216066481994459,1.9390581717451525,0.4862385321100917,0.5385852090032154,101.340746474738,2.5,18.527918781725887,35.18518518518518,0.5428571428571428,0.404,2.4376731301939056,6.038781163434903,15.503875968992247,0.5,10.058013052936907,0.4857142857142857,59.9818106695571,0.0022636413164417,0.0827804232906346,27.290313560319312,0.0121309317290481,15.516560958421426,0.3471967884308823,0.6276723748952536,19.100529100529094,0.3327438187329939,0.4758756633409001,0.0430543867174888,0.3364685629725424,279.5979911352579,57.57609765243646,0.1332333820483567,38.40732910500353,0.2298850574712643,0.3211009174311927,1.2293577981651376,283.8,94.43269908386188,6.694855532064834,31.712473572938688,5.990133897110641,1.409443269908386,12.33262861169838,24.066666666666663,8.933333333333334,0.6333333333333333,3.0,0.5666666666666667,0.1333333333333333,1.1666666666666667,0.1452574525745257,0.0532212885154061,0.0914634146341463,0.0752212389380531,0.0526315789473684,0.0721649484536082,0.4955308222857265,0.0430543867174888,0.2261904761904762,0.1233262861169837,178.60000000000005,9.894736842105264,3.5801652892561986
canisius,2014-15,20,Jasmine Mungo,27,22.0,504,142,113,11,15,10,47,11.269841269841269,8.968253968253968,0.873015873015873,1.1904761904761905,0.7936507936507936,3.73015873015873,0.3546099290780142,0.4080459770114942,113.05001977836328,6.488011283497884,17.2680412371134,18.96551724137931,0.2340425531914893,0.0,0.0,0.0,0.0,0.0,4.041456459749945,0.3191489361702128,49.47458832859076,0.005117787855883,0.0709074650707003,0.0,0.008908376234451,0.0,0.1677621605103648,0.4037658551957772,4.438738077769626,0.2907393246957698,0.9950448343824,-0.0874848452742322,0.2395528238690497,235.6254044237658,26.478386444594204,0.1176111446893572,0.0,0.3546099290780142,0.5319148936170213,1.0070921985815602,221.0,64.25339366515837,4.97737556561086,51.13122171945701,6.787330316742081,4.524886877828054,21.26696832579185,18.666666666666668,5.25925925925926,0.4074074074074074,4.185185185185185,0.5555555555555556,0.3703703703703703,1.7407407407407407,0.0769647696476964,0.0308123249299719,0.1148373983739837,0.0663716814159292,0.131578947368421,0.0969072164948453,0.4955308222857265,-0.0874848452742322,0.22,0.2126696832579185,80.59999999999998,6.396825396825395,2.2492561983471075
canisius,2014-15,15,Lauren D'Hont,30,0.0,555,113,69,28,14,1,38,8.144144144144144,4.972972972972974,2.018018018018018,1.009009009009009,0.072072072072072,2.7387387387387383,0.3625954198473282,0.3991240463407742,83.41142083002785,3.0701754385964914,13.008130081300813,42.42424242424242,0.7368421052631579,0.283,0.9369369369369368,3.315315315315315,7.239919803965249,0.3511450381679389,9.584937954642704,0.3684210526315789,31.71115199394364,0.002856910965019,0.0851404379751934,11.690146369960589,0.0103414533387526,7.2499443083092,0.5086142510933864,0.9249908682666896,31.25996810207336,0.3504767604083889,0.5965575634351217,-0.0964067759449523,0.406304916933619,182.0511923874944,62.4553043827235,0.1184075566839801,25.618177767877032,0.2372881355932203,0.183206106870229,0.8625954198473282,179.56,62.931610603697926,15.59367342392515,38.42726665181555,7.796836711962575,0.5569169079973268,21.162842503898418,18.5,3.7666666666666666,0.9333333333333332,2.3,0.4666666666666667,0.0333333333333333,1.2666666666666666,0.0612466124661246,0.0784313725490196,0.0701219512195122,0.0619469026548672,0.0131578947368421,0.0783505154639175,0.4955308222857265,-0.0964067759449523,0.6829268292682927,0.2116284250389841,52.90000000000002,3.812612612612614,2.7520661157024797
canisius,2014-15,10,Margret Halfdanardottir,29,0.0,423,106,29,26,16,0,31,10.023640661938533,2.7423167848699763,2.458628841607565,1.5130023640661938,0.0,2.9314420803782504,0.4271844660194174,0.4649122807017544,88.37644754022429,1.044776119402985,6.41399416909621,45.6140350877193,0.8387096774193549,0.278,0.9456264775413712,3.404255319148936,6.896551724137931,0.3495145631067961,5.379478980532305,0.5161290322580645,20.334774303810192,0.0053652566101638,0.1220375681268874,14.360608235968996,0.0116448004619763,6.902068965517242,0.5161333273282447,0.8885380261675097,38.25693265421619,0.5041616774775537,0.5542207345485087,-0.0306185415839721,0.6040427645249936,223.36751341398173,64.24472715098761,0.1907556814772032,24.82758620689655,0.3118279569892473,0.2427184466019417,1.029126213592233,145.0,73.10344827586206,17.93103448275862,20.0,11.03448275862069,0.0,21.379310344827587,14.586206896551724,3.655172413793104,0.896551724137931,1.0,0.5517241379310345,0.0,1.0689655172413792,0.0574525745257452,0.072829131652661,0.0294715447154471,0.0707964601769911,0.0,0.0639175257731958,0.4955308222857265,-0.0306185415839721,0.6666666666666666,0.2137931034482758,51.400000000000006,4.8605200945626486,2.027603305785124
canisius,2014-15,25,Abby Schwenk,20,8.0,271,66,35,11,5,2,13,9.74169741697417,5.166051660516605,1.6236162361623616,0.7380073800738007,0.2952029520295203,1.918819188191882,0.4333333333333333,0.4766031195840555,78.23889645844262,1.9230769230769231,6.41399416909621,45.833333333333336,0.8461538461538461,0.5,0.5904059040590406,1.1808118081180812,4.863813229571985,0.1333333333333333,5.4272258353891,0.3846153846153846,13.786541956415697,0.0051742214839122,0.1678883128949682,4.971853616654355,0.0140595012097245,4.863813229571985,0.5858125504051896,0.5450839045142992,38.782051282051285,0.975837895544246,0.568141182699585,-0.018927702701671,1.1089066994820975,199.8199970058613,39.06450583657588,0.3185707809564388,9.72762645914397,0.3571428571428571,0.35,1.1,82.24,80.25291828793775,13.375486381322958,42.55836575875487,6.079766536964981,2.4319066147859925,15.807392996108952,13.55,3.3,0.55,1.75,0.25,0.1,0.65,0.0357723577235772,0.0308123249299719,0.0355691056910569,0.0221238938053097,0.0263157894736842,0.0268041237113402,0.4955308222857265,-0.018927702701671,0.4583333333333333,0.1580739299610895,42.900000000000006,6.332103321033211,0.8958677685950414
canisius,2014-15,35,Laniere Coleman,27,0.0,298,70,55,8,4,13,18,9.395973154362416,7.38255033557047,1.0738255033557047,0.5369127516778524,1.74496644295302,2.416107382550336,0.4776119402985074,0.4871937639198218,77.72529599367778,2.5,10.584958217270197,30.76923076923077,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,4.704425874342308,0.2222222222222222,28.432055402733923,0.0085581730552677,0.1382594691892927,0.0,0.0134419042298523,0.0,0.3958714652308163,0.2936478946878379,13.675213675213676,0.8672783499989307,0.9960022238103384,-0.0083370583659047,0.8424989685703896,198.2411170360463,29.0125771853112,0.2876104775981591,0.0,0.4776119402985074,0.1641791044776119,1.044776119402985,89.84,77.91629563668744,8.904719501335707,61.219946571683,4.452359750667854,14.470169189670528,20.035618878005344,11.037037037037036,2.592592592592593,0.2962962962962963,2.037037037037037,0.1481481481481481,0.4814814814814814,0.6666666666666666,0.037940379403794,0.0224089635854341,0.0558943089430894,0.0176991150442477,0.1710526315789473,0.0371134020618556,0.4955308222857265,-0.0083370583659047,0.25,0.2003561887800534,57.49999999999999,7.718120805369125,1.3299173553719008
canisius,2014-15,32,Saliah Serrette,14,0.0,47,19,9,1,0,0,6,16.170212765957444,7.659574468085106,0.851063829787234,0.0,0.0,5.106382978723404,0.4583333333333333,0.5497685185185185,127.70091923191582,0.7485029940119761,1.2307692307692308,14.285714285714286,0.1666666666666666,0.25,0.851063829787234,3.404255319148936,4.29553264604811,0.3333333333333333,0.2051282051282051,0.0,0.2865230769230769,0.0,1.0973527493640856,23.40198172652778,0.0123987612530043,4.29553264604811,0.1118685225834982,0.0707901174693895,2.380952380952381,3.5058026295914,0.2539989963490059,0.0542376962327919,2.7677389180984737,355.3252585439649,47.69085910652921,1.2795200904143116,17.18213058419244,0.3636363636363636,1.0,1.5833333333333333,23.28,81.61512027491409,4.29553264604811,38.65979381443299,0.0,0.0,25.773195876288657,3.357142857142857,1.3571428571428572,0.0714285714285714,0.6428571428571429,0.0,0.0,0.4285714285714285,0.0102981029810298,0.0028011204481792,0.0091463414634146,0.0,0.0,0.0123711340206185,0.4955308222857265,0.0542376962327919,0.2,0.2577319587628865,10.8,9.191489361702128,0.1087603305785123
