Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
10,Michaela Harrison,31,30.0,981,31.6,131,394,0.332,61,249,0.245,40,55,0.727,363,11.7,13,67,80,2.6,48,36,60,24,2
22,Jessica Tomasetti,31,31.0,979,31.6,121,295,0.41,27,85,0.318,64,78,0.821,333,10.7,52,117,169,5.5,63,64,74,35,2
43,Natalie Villaflor,31,31.0,966,31.2,115,288,0.399,30,103,0.291,54,74,0.73,314,10.1,33,111,144,4.6,62,41,70,41,17
04,Jo Raflo,28,24.0,739,26.4,89,230,0.387,35,108,0.324,26,47,0.553,239,8.5,22,70,92,3.3,56,29,51,21,34
13,Aryna Taylor,24,7.0,506,21.1,67,161,0.416,39,97,0.402,23,28,0.821,196,8.2,15,46,61,2.5,55,22,48,20,5
00,Isabella Hunt,31,31.0,881,28.4,62,183,0.339,4,23,0.174,53,80,0.663,181,5.8,70,157,227,7.3,102,94,100,62,13
25,Carissa Dunham,31,1.0,416,13.4,27,90,0.3,18,64,0.281,3,4,0.75,75,2.4,4,24,28,0.9,32,26,26,11,0
15,Jasmine Lindsay-Huskey,24,0.0,391,16.3,11,54,0.204,6,33,0.182,7,8,0.875,35,1.5,9,24,33,1.4,44,19,15,11,2
12,Giana Hoddinott,4,0.0,33,8.3,1,5,0.2,0,2,0.0,2,2,1.0,4,1.0,3,1,4,1.0,3,1,4,2,0
03,McKenzie Matheny,24,0.0,222,9.3,9,21,0.429,3,8,0.375,3,6,0.5,24,1.0,16,22,38,1.6,40,6,22,10,3
33,Isabella Pelaia,6,0.0,25,4.2,1,7,0.143,1,4,0.25,3,3,1.0,6,1.0,0,1,1,0.2,2,0,2,1,0
20,Jaedyn Jamison,15,0.0,104,6.9,4,17,0.235,2,9,0.222,2,5,0.4,12,0.8,1,17,18,1.2,8,5,7,3,6
11,Jada Lee,1,0.0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0,0,0
02,Kemia Ward,1,0.0,6,6.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,1,1.0,5,1,1,0,0
