#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
04,"Kolliegbo, Safiatu  04 Kolliegbo, Safiatu",28,28.0,907,32.4,142,394,0.36,29,107,0.271,73,110,0.664,386,13.8,33,65,98,3.5,77,69,151,71,6,View Bio
20,"Dickerson, Marlie  20 Dickerson, Marlie",20,14.0,554,27.7,72,221,0.326,22,70,0.314,41,50,0.82,207,10.4,28,49,77,3.9,66,45,60,37,10,View Bio
10,"Strong, Amelia  10 Strong, Amelia",16,15.0,370,23.1,63,152,0.414,0,0,0.0,29,40,0.725,155,9.7,42,30,72,4.5,42,15,38,16,1,View Bio
13,"Dial, Talia  13 Dial, Talia",28,18.0,845,30.2,80,230,0.348,47,151,0.311,42,45,0.933,249,8.9,20,42,62,2.2,36,23,76,38,1,View Bio
12,"Fenceroy, Caliana  12 Fenceroy, Caliana",7,6.0,194,27.7,21,61,0.344,6,19,0.316,4,8,0.5,52,7.4,7,13,20,2.9,13,17,31,10,0,View Bio
02,"Williams, Jordyn  02 Williams, Jordyn",28,8.0,557,19.9,59,155,0.381,0,2,0.0,45,76,0.592,163,5.8,37,51,88,3.1,56,18,64,51,7,View Bio
21,"Porter, Lore  21 Porter, Lore",23,23.0,589,25.6,44,155,0.284,16,89,0.18,22,34,0.647,126,5.5,17,45,62,2.7,52,24,55,31,5,View Bio
00,"Barnes, LaKeeyah  00 Barnes, LaKeeyah",11,1.0,139,12.6,17,55,0.309,5,20,0.25,9,14,0.643,48,4.4,4,5,9,0.8,19,8,22,11,0,View Bio
01,"Otis, Nevaeh  01 Otis, Nevaeh",28,0.0,415,14.8,39,78,0.5,3,7,0.429,9,15,0.6,90,3.2,19,42,61,2.2,55,18,50,24,3,View Bio
23,"Rutledge, Jade  23 Rutledge, Jade",28,27.0,731,26.1,27,119,0.227,0,1,0.0,29,61,0.475,83,3.0,24,64,88,3.1,98,22,50,40,22,View Bio
14,"Lacroix, Jemima  14 Lacroix, Jemima",21,0.0,299,14.2,16,44,0.364,0,0,0.0,8,15,0.533,40,1.9,26,42,68,3.2,66,6,33,13,6,View Bio
TM,Team  TM Team,28,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,70,56,126,4.5,0,0,30,0,0,
,Total,28,,5600,200.0,580,1664,0.349,128,466,0.275,311,468,0.665,1599,57.11,327,504,831,29.7,580,265,660,342,61,
,Opponents,28,,5600,200.0,775,1587,0.488,173,468,0.37,454,585,0.776,2177,77.75,349,825,1174,41.9,517,531,688,341,95,
