Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
22,Adrianne Hagood,26,23.0,820,31.5,138,336,0.411,58,168,0.345,71,94,0.755,405,15.6,37,23,60,2.3,59,27,49,25,2
03,Nikki Johnson,19,17.0,552,29.1,74,187,0.396,29,101,0.287,32,47,0.681,209,11.0,11,59,70,3.7,41,49,64,30,3
04,Jayla Davis,26,20.0,632,24.3,81,218,0.372,20,71,0.282,102,138,0.739,284,10.9,25,84,109,4.2,52,32,45,23,6
24,Jessica Woods,10,10.0,257,25.7,34,87,0.391,0,0,0.0,25,49,0.51,93,9.3,23,45,68,6.8,26,3,25,6,16
10,Olivia Dabney,29,28.0,993,34.2,87,269,0.323,37,127,0.291,44,56,0.786,255,8.8,33,144,177,6.1,70,61,55,40,45
02,Sonia Smith,30,11.0,642,21.4,81,211,0.384,28,81,0.346,37,49,0.755,227,7.6,11,50,61,2.0,54,58,69,30,9
12,Allyson Murphy,30,15.0,815,27.2,41,146,0.281,25,75,0.333,29,36,0.806,136,4.5,13,57,70,2.3,42,54,58,17,0
32,Abigail Kangudie,14,12.0,333,23.8,19,55,0.345,0,1,0.0,5,12,0.417,43,3.1,33,71,104,7.4,20,4,14,6,22
13,Carly Stroemel,24,6.0,275,11.5,20,60,0.333,0,7,0.0,4,9,0.444,44,1.8,19,59,78,3.3,35,4,16,2,15
00,Marie-Laeticia Ziba,26,4.0,335,12.9,17,64,0.266,11,32,0.344,3,4,0.75,48,1.8,13,39,52,2.0,32,5,29,7,6
23,Madison Cheatham,26,4.0,342,13.2,8,31,0.258,0,0,0.0,13,26,0.5,29,1.1,26,39,65,2.5,46,4,20,4,17
33,Savannah Marshall,7,0.0,29,4.1,1,8,0.125,1,7,0.143,1,2,0.5,4,0.6,1,3,4,0.6,2,1,2,0,0
