#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
22,"Camilion, Juana  22 Camilion, Juana",27,27.0,943,34.9,136,333,0.408,31,120,0.258,55,71,0.775,358,13.3,28,122,150,5.6,81,99,86,61,14,View Bio
30,"Athias, Ketsia  30 Athias, Ketsia",25,24.0,766,30.6,133,235,0.566,0,0,0.0,16,38,0.421,282,11.3,53,160,213,8.5,49,67,85,21,33,View Bio
02,"Vezaldenos, Olivia  02 Vezaldenos, Olivia",27,22.0,780,28.9,86,245,0.351,55,178,0.309,18,26,0.692,245,9.1,11,61,72,2.7,33,25,28,19,2,View Bio
05,"Mwai, Shyan  05 Mwai, Shyan",27,24.0,723,26.8,73,219,0.333,22,99,0.222,29,39,0.744,197,7.3,11,51,62,2.3,49,43,61,20,8,View Bio
12,"Lipinski, Isabelle  12 Lipinski, Isabelle",27,2.0,345,12.8,46,104,0.442,0,2,0.0,32,54,0.593,124,4.6,31,48,79,2.9,45,23,44,9,6,View Bio
10,"Hodge-Carr, Thoranna  10 Hodge-Carr, Thoranna",27,0.0,516,19.1,52,114,0.456,6,9,0.667,8,18,0.444,118,4.4,32,37,69,2.6,52,42,45,27,0,View Bio
32,"Gomez, Judith  32 Gomez, Judith",27,5.0,471,17.4,34,96,0.354,22,71,0.31,4,6,0.667,94,3.5,9,23,32,1.2,42,17,24,21,3,View Bio
34,"Cenis, Marina  34 Cenis, Marina",27,19.0,330,12.2,16,40,0.4,1,2,0.5,11,18,0.611,44,1.6,1,22,23,0.9,29,22,33,13,1,View Bio
01,"Benn, Jazz  01 Benn, Jazz",23,4.0,225,9.8,10,31,0.323,4,15,0.267,2,6,0.333,26,1.1,9,14,23,1.0,13,9,12,2,0,
23,"Meijer, Anouschka  23 Meijer, Anouschka",9,3.0,131,14.6,4,20,0.2,0,5,0.0,1,2,0.5,9,1.0,2,10,12,1.3,8,5,16,1,0,View Bio
35,"Rogers, Jessica  35 Rogers, Jessica",7,1.0,16,2.3,2,5,0.4,2,5,0.4,0,0,0.0,6,0.9,0,0,0,0.0,1,0,0,0,1,View Bio
11,"Weekes, Paulla  11 Weekes, Paulla",10,1.0,78,7.8,3,5,0.6,0,0,0.0,3,5,0.6,9,0.9,2,13,15,1.5,2,6,7,5,1,View Bio
13,"Becerra Perez, Lucia  13 Becerra Perez, Lucia",12,3.0,101,8.4,4,8,0.5,1,2,0.5,0,4,0.0,9,0.8,1,8,9,0.8,13,8,15,3,0,View Bio
TM,Team  TM Team,27,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,50,51,101,3.7,0,0,14,0,0,
,Total,27,,5425,200.9,599,1455,0.412,144,508,0.283,179,287,0.624,1521,56.33,240,620,860,31.9,417,366,470,202,69,
,Opponents,27,,5413,200.5,576,1445,0.399,158,455,0.347,275,394,0.698,1585,58.7,286,656,942,34.9,406,338,478,243,75,
