#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
20,"Shazer, Zaria  20 Shazer, Zaria",29,28.0,1022,35.2,150,408,0.368,5,18,0.278,91,130,0.7,396,13.7,58,179,237,8.2,75,71,84,38,24,View Bio
03,"Fisher, Kiara  03 Fisher, Kiara",18,17.0,523,29.1,51,183,0.279,14,73,0.192,43,59,0.729,159,8.8,8,60,68,3.8,22,88,59,23,5,View Bio
23,"Tarul, Lexie  23 Tarul, Lexie",31,27.0,742,23.9,76,228,0.333,52,163,0.319,21,28,0.75,225,7.3,17,61,78,2.5,21,41,66,16,1,View Bio
31,"Lee, Morgan  31 Lee, Morgan",31,30.0,617,19.9,79,189,0.418,19,53,0.358,25,35,0.714,202,6.5,33,100,133,4.3,44,24,57,9,38,View Bio
25,"Cunningham, Catie  25 Cunningham, Catie",30,29.0,899,30.0,66,169,0.391,9,31,0.29,45,64,0.703,186,6.2,80,146,226,7.5,64,41,42,34,12,View Bio
02,"Piddock, Jackie  02 Piddock, Jackie",31,17.0,937,30.2,65,195,0.333,33,109,0.303,30,44,0.682,193,6.2,10,67,77,2.5,48,70,77,26,1,View Bio
05,"Corsentino, Julia  05 Corsentino, Julia",31,3.0,605,19.5,55,175,0.314,29,94,0.309,39,53,0.736,178,5.7,8,56,64,2.1,41,19,58,21,2,View Bio
22,"Croker, Ciara  22 Croker, Ciara",31,1.0,652,21.0,61,152,0.401,0,6,0.0,14,19,0.737,136,4.4,23,75,98,3.2,81,30,46,16,11,View Bio
01,"Donnelly, Maeve  01 Donnelly, Maeve",7,0.0,63,9.0,5,13,0.385,1,2,0.5,0,0,0.0,11,1.6,4,5,9,1.3,6,2,4,1,5,View Bio
30,"Tompkins, Morgan  30 Tompkins, Morgan",22,1.0,176,8.0,6,23,0.261,0,6,0.0,6,9,0.667,18,0.8,8,14,22,1.0,17,2,17,7,11,View Bio
24,"Robbins, Kate  24 Robbins, Kate",11,0.0,42,3.8,3,8,0.375,1,3,0.333,2,2,1.0,9,0.8,0,5,5,0.5,0,3,5,1,2,View Bio
42,"Rife, McKenna  42 Rife, McKenna",4,0.0,4,1.0,1,1,1.0,0,0,0.0,0,0,0.0,2,0.5,1,2,3,0.8,1,0,1,0,0,View Bio
14,"Fox, Erin  14 Fox, Erin",8,2.0,34,4.3,0,6,0.0,0,2,0.0,3,4,0.75,3,0.4,2,6,8,1.0,3,3,4,1,0,View Bio
21,"Chadwick, Samantha  21 Chadwick, Samantha",5,0.0,4,0.8,0,0,0.0,0,0,0.0,2,2,1.0,2,0.4,0,0,0,0.0,0,0,0,0,0,View Bio
TM,Team  TM Team,31,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,58,78,136,4.4,0,0,21,0,0,
11,"Whitman, Jayne  11 Whitman, Jayne",3,0.0,2,0.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,1,0,0,View Bio
00,"Zeno, Amanda 00 Zeno, Amanda",2,0.0,3,1.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
,Total,31,,6325,204.0,618,1750,0.353,163,560,0.291,321,449,0.715,1720,55.48,310,854,1164,37.5,423,394,542,193,112,
,Opponents,31,,6325,204.0,744,1960,0.38,212,731,0.29,280,382,0.733,1980,63.87,375,859,1234,39.8,484,409,418,323,88,
