Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
,Total,1,,200,200.0,25,69,0.362,5,16,0.313,30,41,0.732,85,85.0,24,33,57,57.0,20,17,14,15,5
,Opponents,1,,200,200.0,10,51,0.196,5,13,0.385,16,25,0.64,41,41.0,13,28,41,41.0,27,8,28,4,3
