#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
01,"Pryor, Ny'Ceara  01 Pryor, Ny'Ceara",33,33.0,1112,33.7,221,511,0.432,17,86,0.198,127,190,0.668,586,17.8,63,159,222,6.7,94,143,89,122,6,View Bio
23,"Bonner, Sajada  23 Bonner, Sajada",32,32.0,1041,32.5,114,338,0.337,60,198,0.303,53,71,0.746,341,10.7,27,79,106,3.3,67,29,59,30,13,View Bio
03,"Wood, Amelia  03 Wood, Amelia",33,10.0,690,20.9,80,224,0.357,39,118,0.331,54,69,0.783,253,7.7,40,140,180,5.5,67,27,63,34,12,View Bio
30,"Tucker, Olivia  30 Tucker, Olivia",33,31.0,1057,32.0,81,256,0.316,33,125,0.264,39,45,0.867,234,7.1,12,49,61,1.8,62,39,49,32,8,View Bio
24,"Johnson, Sierra  24 Johnson, Sierra",33,22.0,862,26.1,64,175,0.366,8,44,0.182,47,76,0.618,183,5.5,44,64,108,3.3,79,53,92,29,11,View Bio
34,"Wood, Kelsey  34 Wood, Kelsey",33,14.0,540,16.4,67,129,0.519,0,0,0.0,22,49,0.449,156,4.7,63,102,165,5.0,70,20,43,29,11,View Bio
13,"Stroemel, Carly  13 Stroemel, Carly",31,3.0,471,15.2,53,134,0.396,0,2,0.0,15,29,0.517,121,3.9,35,64,99,3.2,64,9,26,13,31,View Bio
22,"Brannon, Ciara  22 Brannon, Ciara",25,16.0,308,12.3,36,82,0.439,0,0,0.0,7,25,0.28,79,3.2,49,30,79,3.2,65,7,34,4,10,View Bio
05,"Jackson, Wil'Lisha  05 Jackson, Wil'Lisha",20,4.0,206,10.3,16,60,0.267,7,27,0.259,7,10,0.7,46,2.3,5,13,18,0.9,19,5,17,8,2,View Bio
10,"Owusu-Mensah, Afia  10 Owusu-Mensah, Afia",18,0.0,145,8.1,13,34,0.382,1,11,0.091,11,15,0.733,38,2.1,7,12,19,1.1,15,6,10,4,0,View Bio
12,"Klein, Maya  12 Klein, Maya",13,0.0,75,5.8,5,18,0.278,3,14,0.214,0,0,0.0,13,1.0,0,6,6,0.5,1,4,6,2,1,View Bio
33,"Marshall, Savannah  33 Marshall, Savannah",12,0.0,75,6.3,2,9,0.222,2,9,0.222,0,0,0.0,6,0.5,2,7,9,0.8,5,3,7,5,0,View Bio
04,"Hallum, Kennadie 04 Hallum, Kennadie",6,0.0,18,3.0,0,4,0.0,0,2,0.0,0,0,0.0,0,0.0,0,2,2,0.3,1,0,1,1,0,View Bio
TM,Team  TM Team,33,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,68,87,155,4.7,0,0,15,0,0,
,Total,33,,6600,200.0,752,1974,0.381,170,636,0.267,382,579,0.66,2056,62.3,415,814,1229,37.2,609,345,511,313,105,
,Opponents,33,,6600,200.0,700,1797,0.39,184,596,0.309,373,571,0.653,1957,59.3,346,892,1238,37.5,574,399,627,215,100,
