#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
11,"Lopez-Senechal, Lou  11 Lopez-Senechal, Lou",31,31.0,1057,34.1,231,515,0.449,54,132,0.409,88,110,0.8,604,19.5,22,120,142,4.6,58,33,59,32,13,View Bio
23,"Cavanaugh, Callie  23 Cavanaugh, Callie",32,32.0,1042,32.6,134,294,0.456,1,18,0.056,38,54,0.704,307,9.6,46,90,136,4.3,91,41,45,22,23,View Bio
31,"Lowery, Sydney  31 Lowery, Sydney",31,31.0,950,30.6,97,245,0.396,30,84,0.357,58,72,0.806,282,9.1,36,77,113,3.6,40,43,47,48,3,View Bio
41,"Hernangomez, Andrea  41 Hernangomez, Andrea",31,31.0,968,31.2,108,267,0.404,9,52,0.173,22,38,0.579,247,8.0,72,180,252,8.1,57,50,61,38,10,View Bio
22,"Hakes, Rachel  22 Hakes, Rachel",32,32.0,1141,35.7,72,153,0.471,26,61,0.426,68,81,0.84,238,7.4,36,128,164,5.1,60,187,74,47,8,View Bio
30,"Lewis, Sam  30 Lewis, Sam",32,3.0,574,17.9,73,207,0.353,61,168,0.363,18,22,0.818,225,7.0,7,49,56,1.8,29,24,14,20,12,View Bio
03,"Brown, Janelle  03 Brown, Janelle",31,0.0,358,11.5,36,84,0.429,4,21,0.19,35,50,0.7,111,3.6,8,39,47,1.5,39,60,37,40,5,View Bio
02,"Rubino, Mimi  02 Rubino, Mimi",22,0.0,75,3.4,7,13,0.538,1,5,0.2,4,4,1.0,19,0.9,0,6,6,0.3,8,9,6,2,2,View Bio
34,"Tirado, Dayna  34 Tirado, Dayna",6,0.0,10,1.7,2,7,0.286,0,1,0.0,0,0,0.0,4,0.7,0,2,2,0.3,2,0,0,0,1,View Bio
25,"Daleba, MacKenzie  25 Daleba, MacKenzie",18,0.0,37,2.1,5,15,0.333,0,1,0.0,1,6,0.167,11,0.6,8,6,14,0.8,4,1,3,3,0,View Bio
42,"Martin, MacKenzie  42 Martin, MacKenzie",28,0.0,182,6.5,8,25,0.32,2,4,0.5,0,2,0.0,18,0.6,13,26,39,1.4,6,5,9,2,1,View Bio
32,"Carter, Jazmine  32 Carter, Jazmine",7,0.0,13,1.9,1,3,0.333,0,0,0.0,0,0,0.0,2,0.3,1,1,2,0.3,4,0,0,0,0,View Bio
33,"Tatarian, Brooke  33 Tatarian, Brooke",13,0.0,22,1.7,0,2,0.0,0,0,0.0,1,2,0.5,1,0.1,1,4,5,0.4,6,0,3,0,1,View Bio
55,"Polansky, Jocelyn  55 Polansky, Jocelyn",9,0.0,21,2.3,0,2,0.0,0,1,0.0,0,0,0.0,0,0.0,1,1,2,0.2,1,1,2,2,0,View Bio
TM,Team  TM Team,32,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,38,56,94,2.9,0,0,15,0,0,
,Total,32,,6450,201.6,774,1832,0.422,188,548,0.343,333,441,0.755,2069,64.66,289,785,1074,33.6,405,454,375,256,79,
,Opponents,32,,6450,201.6,681,1781,0.382,215,719,0.299,246,358,0.687,1823,56.97,336,775,1111,34.7,496,390,511,179,62,
