#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
22,"Tomasetti, Jessica  22 Tomasetti, Jessica",31,31.0,1069,34.5,161,413,0.39,41,128,0.32,56,72,0.778,419,13.5,33,92,125,4.0,43,63,64,42,4,View Bio
04,"Raflo, Jo  04 Raflo, Jo",31,31.0,988,31.9,137,402,0.341,67,202,0.332,36,54,0.667,377,12.2,9,92,101,3.3,51,45,56,34,24,View Bio
11,"Lee, Jada  11 Lee, Jada",30,28.0,931,31.0,100,271,0.369,18,81,0.222,54,67,0.806,272,9.1,40,89,129,4.3,60,71,86,61,7,View Bio
00,"Hunt, Isabella  00 Hunt, Isabella",31,31.0,963,31.1,107,236,0.453,1,11,0.091,59,78,0.756,274,8.8,59,179,238,7.7,91,78,78,49,8,View Bio
06,"Revueltas, Rosa  06 Revueltas, Rosa",20,0.0,253,12.7,25,80,0.313,13,48,0.271,10,17,0.588,73,3.7,4,21,25,1.3,31,7,39,11,3,
01,"Carter, KC  01 Carter, KC",12,0.0,93,7.8,12,33,0.364,6,23,0.261,7,10,0.7,37,3.1,1,10,11,0.9,10,1,8,1,1,View Bio
12,"Hoddinott, Giana 12 Hoddinott, Giana",27,0.0,463,17.1,25,81,0.309,6,27,0.222,9,17,0.529,65,2.4,29,31,60,2.2,31,40,26,26,3,View Bio
50,"Christ, Jackie  50 Christ, Jackie",14,5.0,163,11.6,16,30,0.533,0,0,0.0,0,0,0.0,32,2.3,10,14,24,1.7,23,1,21,1,2,View Bio
20,"Jamison, Jaedyn  20 Jamison, Jaedyn",31,23.0,623,20.1,26,74,0.351,4,26,0.154,6,16,0.375,62,2.0,30,81,111,3.6,51,20,29,25,22,View Bio
02,"Engelman, Tessa  02 Engelman, Tessa",27,3.0,368,13.6,16,58,0.276,2,17,0.118,7,13,0.538,41,1.5,16,31,47,1.7,50,11,23,12,15,View Bio
03,"Novak, Maddie  03 Novak, Maddie",18,3.0,184,10.2,8,55,0.145,3,41,0.073,8,17,0.471,27,1.5,6,23,29,1.6,31,2,13,2,1,View Bio
33,"Matheny, McKenzie  33 Matheny, McKenzie",16,0.0,116,7.3,5,16,0.313,0,2,0.0,0,2,0.0,10,0.6,6,12,18,1.1,18,3,9,3,1,View Bio
13,"Walker, Aniya  13 Walker, Aniya",4,0.0,11,2.8,1,3,0.333,0,1,0.0,0,1,0.0,2,0.5,0,3,3,0.8,2,0,4,0,0,View Bio
TM,Team  TM Team,31,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,59,62,121,3.9,0,0,24,0,0,
,Total,31,,6225,200.8,639,1752,0.365,161,607,0.265,252,364,0.692,1691,54.55,302,740,1042,33.6,492,342,480,267,91,
,Opponents,31,,6225,200.8,661,1730,0.382,183,628,0.291,310,430,0.721,1815,58.55,358,832,1190,38.4,441,384,514,225,74,
