#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
14,"Eleko, Sisi  14 Eleko, Sisi",31,30.0,945,30.5,181,364,0.497,17,39,0.436,114,155,0.735,493,15.9,88,240,328,10.6,93,38,111,19,9,View Bio
05,"Lexa, Athina  05 Lexa, Athina",31,11.0,891,28.7,134,319,0.42,52,131,0.397,42,52,0.808,362,11.7,25,77,102,3.3,56,56,59,20,1,View Bio
02,"Amalia, Mackenzie  02 Amalia, Mackenzie",31,31.0,1075,34.7,81,274,0.296,50,162,0.309,47,80,0.588,259,8.4,25,75,100,3.2,71,133,101,39,1,View Bio
11,"Heeps, Grace  11 Heeps, Grace",31,31.0,1087,35.1,70,215,0.326,41,142,0.289,30,41,0.732,211,6.8,55,114,169,5.5,43,61,45,39,11,View Bio
03,"Thrash, Brooklyn  03 Thrash, Brooklyn",29,28.0,672,23.2,68,137,0.496,22,52,0.423,25,34,0.735,183,6.3,31,45,76,2.6,68,17,37,26,15,View Bio
23,"LaMora, Adrien  23 LaMora, Adrien",9,0.0,121,13.4,17,30,0.567,1,3,0.333,8,11,0.727,43,4.8,6,21,27,3.0,11,9,10,2,4,View Bio
22,"Rozzi, Bri  22 Rozzi, Bri",25,21.0,597,23.9,39,140,0.279,22,67,0.328,18,36,0.5,118,4.7,19,64,83,3.3,67,61,42,17,6,View Bio
34,"Chard Peloquin, Chloe  34 Chard Peloquin, Chloe",2,0.0,35,17.5,4,8,0.5,0,1,0.0,1,2,0.5,9,4.5,2,5,7,3.5,5,1,1,0,2,View Bio
45,"Fulton, Tihanna  45 Fulton, Tihanna",22,1.0,387,17.6,39,100,0.39,6,17,0.353,8,19,0.421,92,4.2,6,31,37,1.7,46,10,28,7,4,View Bio
10,"Hernandez-Boulden, Giana  10 Hernandez-Boulden, Giana",24,1.0,171,7.1,20,46,0.435,3,9,0.333,11,22,0.5,54,2.3,10,17,27,1.1,28,3,21,5,3,View Bio
20,"McCauley, Jane  20 McCauley, Jane",19,1.0,121,6.4,14,43,0.326,12,37,0.324,2,2,1.0,42,2.2,1,7,8,0.4,11,2,4,3,0,View Bio
01,"Copple, Mary  01 Copple, Mary",16,0.0,104,6.5,4,19,0.211,3,14,0.214,1,2,0.5,12,0.8,5,6,11,0.7,16,17,20,3,1,View Bio
13,"Karatasiou, Xanthippi 13 Karatasiou, Xanthippi",4,0.0,19,4.8,1,4,0.25,0,3,0.0,0,0,0.0,2,0.5,1,3,4,1.0,1,0,1,0,0,View Bio
TM,Team  TM Team,31,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,81,58,139,4.5,0,0,37,0,0,
,Total,31,,6225,200.8,672,1699,0.396,229,677,0.338,307,456,0.673,1880,60.65,355,763,1118,36.1,516,408,517,180,57,
,Opponents,31,,6225,200.8,706,1739,0.406,172,613,0.281,331,454,0.729,1915,61.77,299,724,1023,33.0,507,384,416,242,111,
