Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
21,Jen Fay,34,34.0,949,27.9,157,340,0.462,65,167,0.389,72,98,0.735,451,13.3,59,170,229,6.7,66,76,43,38,14
13,Sarah Shewan,6,1.0,129,21.5,22,60,0.367,11,31,0.355,25,27,0.926,80,13.3,12,25,37,6.2,12,9,15,5,7
25,Aryn McClure,33,33.0,952,28.8,165,372,0.444,20,57,0.351,53,75,0.707,403,12.2,55,136,191,5.8,66,107,51,51,41
05,Carly Fabbri,34,34.0,979,28.8,114,241,0.473,63,149,0.423,34,45,0.756,325,9.6,7,67,74,2.2,52,142,49,60,2
04,Paula Strautmane,34,34.0,891,26.2,130,297,0.438,21,52,0.404,39,58,0.672,320,9.4,66,95,161,4.7,100,90,56,56,55
01,Vanessa Udoji,6,6.0,142,23.7,20,53,0.377,7,27,0.259,3,6,0.5,50,8.3,9,12,21,3.5,12,5,15,8,3
02,Taylor Herd,33,25.0,533,16.2,66,187,0.353,43,131,0.328,24,27,0.889,199,6.0,26,57,83,2.5,45,31,33,31,3
11,Edel Thornton,34,3.0,664,19.5,69,182,0.379,30,110,0.273,3,7,0.429,171,5.0,2,40,42,1.2,52,39,25,29,1
23,Brittany Martin,26,0.0,321,12.3,37,97,0.381,11,35,0.314,44,62,0.71,129,5.0,7,25,32,1.2,18,19,24,13,0
10,Jaden Ward,28,0.0,323,11.5,39,105,0.371,3,19,0.158,29,43,0.674,110,3.9,33,45,78,2.8,31,5,28,19,9
20,Paige Warfel,34,0.0,519,15.3,31,104,0.298,2,14,0.143,34,53,0.642,98,2.9,66,85,151,4.4,73,36,28,23,6
33,Chiara Bacchini,31,0.0,339,10.9,29,110,0.264,11,50,0.22,9,14,0.643,78,2.5,8,23,31,1.0,33,10,21,17,1
32,Danelle Bradley,18,0.0,62,3.4,6,20,0.3,4,15,0.267,6,6,1.0,22,1.2,4,10,14,0.8,1,2,3,2,1
24,Katie Grant,15,0.0,47,3.1,3,9,0.333,0,0,0.0,0,2,0.0,6,0.4,0,6,6,0.4,1,1,1,1,2
