college,season,player_number_ind,player_ind,gp_ind,gs_ind,minutes_tot_ind,scoring_pts_ind,rebounds_tot_ind,ast_ind,stl_ind,blk_ind,to_ind,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,to_per40,eFG_pct,TS_pct,USG_pct,ORB_pct,DRB_pct,AST_pct,AST_per_TO,3pt_3pt_pct_ind,three_per40,threeA_per40,three_per100,threeA_rate,DRCR,STL_TO_ratio,def_stops_per100,DPMR,TUSG_pct,Gravity,PPT,Spacing,Assist_to_Usage,APC,PEF,OEFF,TOV_pct,SEM,PEI,BoxCreation,OLI,IPM,threeA_per100,2pt_pct,FTr,PPP,possessions,scoring_pts_per100,ast_per100,rebounds_tot_per100,stl_per100,blk_per100,to_per100,mins_per_game,pts_per_game,ast_per_game,reb_per_game,stl_per_game,blk_per_game,to_per_game,scoring_pts_share,ast_share,rebounds_tot_share,stl_share,blk_share,to_share,team_TS_pct,TS_diff,ast_per_fgm,tov_rate,game_score,game_score_per40,min_share,player_id
marist,2023-24,3,Kiara Fisher,-2.202819318739464,-0.02285872812103291,-0.5640529735407139,-0.363408107738099,-0.584853786402966,1.358049516431554,-0.17681800882956536,-0.38025084928271613,0.27627590432791466,0.2570916596381829,-0.2531556733300723,3.1063143597938194,0.45271976838109257,-0.2282167752687563,1.2458574638310786,-1.6159693112632947,-1.2869961109824284,1.2765632729451055,-1.1124308777374066,-0.1570843373587206,1.4538031730209844,1.4777702925516605,-0.4342423999040934,0.16382700621574936,0.7812213615643513,0.09577653779493846,0.3676775787301402,0.8438006361220549,-0.5069295244418717,-0.2895267978709234,0.23786297527790848,0.13463419051962314,0.4312654324594565,-1.3384356076741566,-0.34075338602975197,-0.06836607766137157,2.58320999915031,1.4439101906823328,-0.708424717866353,-0.03444220413800101,-0.8859149872653855,-0.16827734217492682,0.4735261837870511,0.8619306693526165,0.13815988612248567,0.16442095678534613,-0.767176097676501,0.37591379599656516,-1.071984592098618,0.03482771831107416,-1.0647884494169357,1.3398531585015208,-0.8499939688943418,-0.3426821196020531,-0.43967826756096723,0.1439157070979286,0.7376529041602583,0.39420361442969226,3.0069326217375076,0.04672489836960696,0.5916686118766423,-0.16258443081549434,1.6313063332548579,-0.30881624063077734,1.3380813685407764,-0.714100142783891,0.12013752392298742,-0.5252168625131348,0.07999597781632274,-1.0766969989606912,-0.8859149872653855,1.4298474587442753,0.14391570709792822,-0.415684768120725,-0.07949188502863067,-1.2624646339227978,1688
marist,2023-24,23,Lexie Tarul,0.6717990408531407,0.8800228073619002,0.33812133785099724,0.1754202804253758,-0.4186453686293291,-0.057507730405490017,-0.5740338998605484,-0.6988576268654674,0.5466005464250704,0.2504181092572763,-0.7346591968741364,-0.17515326563121994,-1.0145283820558504,-0.9999423134528501,0.36691773153770957,0.20384740095191445,-0.019290019984638803,0.2930206749125812,-0.7346560830919536,-0.13006434307994966,-0.311755688939199,-0.4320638861452873,0.45353246016917526,1.479968657068978,1.329831158257597,1.1536152866900249,1.5281233296736705,-0.38427127788743287,-1.0566393342092297,-0.2468857453764123,-1.1068956543244763,-0.1724772534974905,1.809458435943011,-0.5897412793479999,1.488310447509687,-0.4690321441343651,-0.2597381518931873,-0.46241490399539664,-0.6165383962292025,-0.620649674609088,0.5303797773244431,-0.64101565393558,0.16588293733533666,1.1200731563592363,-0.8291000739138923,1.587072618739736,-1.49892344785584,-1.09352456545727,-0.35058779461047074,0.31731522056364375,-0.07193682267103368,-0.3073399924767185,-0.8456562683543322,-0.9955910485523484,-0.7369226594947426,0.07801676077360417,0.05089965332002771,0.003894851426764627,-0.17448142274449027,-0.5818357169012109,-0.7011037798342337,-0.7092255380256525,0.31190871212289284,0.2838480658374469,-0.1057948909537227,-0.5573221327409237,-0.42795954545837606,-0.8208214584078789,0.33729816390671497,-1.0766969989606912,0.5303797773244431,-0.24396899729715607,0.07801676077360278,-0.3395727142126853,-0.5701625234787642,0.4037135235907472,1689
marist,2023-24,31,Morgan Lee,0.6717990408531407,1.15088726800678,-0.1768183376008927,-0.012353248783107847,0.49550092912567395,-0.5695177984103783,-0.9712497908915315,2.2482550657749814,0.19904029230015585,0.4498761003473637,0.9553169586159249,-0.6501702851588012,-1.6206046055913141,2.384175488192887,0.4933963685963169,0.49525502274308214,0.35671641197215415,0.40007698468784925,-0.08198541194701015,0.8209076506826479,-1.0236867221265797,-0.8712981634872002,0.7261562360971867,0.32594556793838,0.235068613047438,0.37900406289227984,-0.1365685067691678,-0.3793866800452928,-1.3718681211416577,0.3001502497962509,0.113877420027461,-0.24677561750226767,-0.003451452609076872,-0.44715314874207973,-0.024909907744947602,-0.8506220713768811,-0.6968950032596749,-0.7921768927142557,-0.3369515432815442,0.2091317692531728,0.9504581731088771,-0.546090868841949,0.397317479595496,-0.4778782907517187,-0.19499615128032544,-0.21726702768862477,0.4203885806179999,-0.60795699033804,0.12562348315604235,-0.01348088478529902,0.19700902197133788,-0.6632067488811925,0.4267495346757141,-1.341527277422332,2.0068595006225403,0.11424755619287214,-0.4899455739780184,-0.17993657961215664,-0.66368378335328,0.3020776483233767,-1.084372771259105,1.9481684576091307,-0.021542792749772218,0.07731353479548914,-0.6280480060900304,0.3049569224953884,-0.976056614839738,1.913521053618505,0.0064810675047818605,-1.0766969989606912,0.9504581731088771,-0.5765771224371893,0.11424755619287157,0.15852768921081473,0.5773251413009428,-0.07144399483470018,1690
marist,2023-24,25,Catie Cunningham,0.45067455165370957,1.060599114458487,0.984885570218571,-0.14297831258031385,2.0412392144204974,-0.057507730405490017,0.44737839136197943,0.17731101148709846,-0.38022679790803515,-0.7254612640126471,1.3371736692031806,-0.4553701636889434,0.10359291994646286,0.06760059227226976,-1.1886071222477894,-0.2176418243181044,0.03236493414521408,-1.1577725187700845,1.705914699446229,1.7334857009273898,0.5961588548001726,0.3469082300740638,0.2508122165303972,-0.682909663504178,-0.6267515848228975,-0.1711565112196823,-0.58538480144952,1.4650323890232297,1.0581974600625026,0.5982509980840813,-0.6648551726465244,-0.9360041740261262,-0.8176993928060113,1.2929181924697517,-0.5699515621697265,1.0797769010212521,-0.22459416972450885,0.24841275944307226,-0.1889073750318212,0.32224987121673077,0.588089242963797,-0.1284897685920395,-1.0079236908125984,-0.6300910747160599,-0.6317658676963874,-0.6179080675669739,0.4497114032752395,0.7503073911100819,0.3054194743650403,-0.17725883186812355,0.23189663682843714,0.010875279808056571,2.6103551857108975,0.7518979708523675,0.16883251669815283,-0.47816625414612485,0.8598598879639581,-0.2582647545765667,-0.13515338983280337,1.9177641389399565,0.34649813006041513,0.10953909846722669,-0.5254250667795772,-0.06636266071195815,-0.1057948909537227,1.7629924158949701,0.9814329186651285,-0.007908819697332644,-0.5448807598317753,-1.0766969989606912,0.588089242963797,-0.12861213710564012,-0.47816625414612574,0.8570243864681405,0.5424123474550366,0.8902748224584065,1691
marist,2023-24,2,Jackie Piddock,0.6717990408531407,-0.02285872812103291,1.1414272315559455,-0.08582984716903623,-0.4352662104066928,0.8159212091322606,-0.006582626959144065,-0.6988576268654674,0.9713964125777438,-0.7366270999183238,-1.2681476419451034,0.3896587939315004,-0.5488642568754522,-1.030382518173376,0.11748889406525555,-0.20663385829730752,-0.2788250525005279,-0.7138324600630996,-1.0278007732785102,0.029045437553661905,0.45041976548622087,0.19966350078869885,0.34168680850640115,0.491160659686215,0.5705118067410904,0.777268136461253,0.9849439604996701,0.13799112622997087,-0.7014759031101604,-0.13816121692396657,-1.1048348831373744,-0.7313999512372925,0.44241915204654925,0.26449458582553986,0.6100323411120872,0.5370149985313868,0.48600000632023277,0.10485533623186695,-0.6788268637610285,-0.08220875040844826,0.2404244711299349,-0.4752554550120489,-0.6472503357992201,1.1099243355552124,-1.1168979917907804,0.7214356277356538,-0.9568589472062401,-0.3065164097253584,-0.33339259198508664,0.2071480403316719,-0.5791827866896144,0.5935153662398023,-0.7973849661512524,-0.27655758421735427,-0.733686261384355,0.7594134016792834,0.8946182079049794,-0.25187061784477827,0.6600402512352097,-0.5979068689962034,-0.15357664922727426,-0.7092255380256525,0.7194605514117058,-0.003504325177450727,0.7851074819258616,-0.57299993374522,0.35503626794357157,-0.8208214584078789,0.741630170620189,-1.0766969989606912,0.2404244711299349,0.514529412134714,0.7594134016792834,-0.4484418546127925,-1.009496859187033,1.1449592523344463,1692
marist,2023-24,5,Julia Corsentino,0.6717990408531407,-1.2868928777971393,-0.22625254644427412,-0.20829084447891685,-0.6513371535124207,-0.7201089948824043,-0.2903082634098462,-0.6192059324697795,0.23765809831403523,0.17215430713019417,-0.7206645302215522,-0.8677539747100956,-0.08593022873811931,-0.7960480415498564,0.6217743263018559,-0.4969296479314885,-0.29917895506626657,0.40014158356828505,-1.1124308777374066,-0.26664081689340946,-1.4296572253996234,-1.0764028906042713,0.38362892787994146,0.9058901949845217,0.9079865760958968,0.7762794095502882,0.9045913801395234,-0.8414509511454558,-0.6104583153598501,-0.41051276686195315,-0.48049036240360765,-0.06383878184889265,0.9872817376376227,-0.5785719625132394,0.6094821866644228,-1.0456642063106965,-0.8254705477792301,-0.9200413671880017,-0.4606143060915707,-0.3565496103117807,0.21768487411487625,-0.7016340618870891,0.02411482522468495,0.19432213489670444,-0.6807910848822962,0.6810146844591018,-1.1292132499137284,0.2421722705341594,-0.17224048064860967,-0.050890595719685114,-0.35386343131293474,-0.812950933102468,-0.8704261515317667,-0.41855908936797415,-0.6492996875697548,0.22902635196213897,-0.5418667157986302,-0.3717606815658139,-0.8075668305911593,-0.806831846231106,-0.42734021453075405,-0.6374040786841719,0.015507374458301902,-0.13820075846568255,-0.7816518634830617,-0.7768113468010758,-0.036461638757401514,-0.7469203094341931,0.0432385226605523,-1.0766969989606912,0.21768487411487625,-0.5177867932444326,0.22902635196213916,-0.7451825204821114,-0.918381239795891,-0.1170591166035434,1693
marist,2023-24,22,Ciara Croker,0.6717990408531407,-1.467469184893726,-0.0326352284743635,-0.5511816369465826,-0.08622853308205526,-0.38880836264394714,-0.5740338998605484,0.09765931709141068,-0.22575557385251754,-0.7050368173772528,0.08508438507575514,-0.4435793418085849,-0.7831638226248095,0.31758943204355916,-0.31071162155858595,-0.4387064050976125,-0.6566830627350021,-0.6589515663880374,-0.4871138003216153,0.23347739812533216,-0.21703557139728366,-0.36412066604025906,-1.7763902198573815,-1.4120294469646095,-1.3923524937645704,-1.7281493199185296,-1.3243946948078975,-0.16536591697892927,-0.6635730863525523,-0.30262716078453694,-0.6053346480267797,-0.7408083519458131,-1.2220102070324266,-0.11924491547658232,-1.1553886566251625,0.06299787851266445,-0.5426043498362086,-0.40593260971990336,-0.21806890155880443,1.1257012757788591,-0.18172252765288038,-0.28742500870353,-0.8870282471441971,-0.9787944930063881,-0.6018141989517239,-1.1687106173162187,0.8490848182969358,-1.0760010233665007,-0.9099007376638268,-0.41880184734998716,-0.6028749175622676,-0.20972383686562238,0.25703472022058105,-0.503948992656787,0.2292526050769255,0.18201184760200326,-0.3385089103345651,-0.7074528599847141,-0.4910241266678248,-0.2604126750013609,-0.7011037798342337,0.00898905538915382,-0.429094632038585,-0.5153507716727336,-0.4437233772183922,-0.2437661126549925,-0.42795954545837606,-0.08180996867101842,-0.3978509392086938,-1.0766969989606912,-0.18172252765288038,-0.3112458930489934,0.18201184760200206,-0.6449843735651987,-0.8443771437204444,0.061600110324424855,1694
marist,2022-23,20,Zaria Shazer,0.45067455165370957,1.15088726800678,1.5451399371102272,2.257257234693346,1.7919265877600419,0.725566491249045,1.5255358098746477,1.3720864274224156,0.5466005464250704,1.368767917291251,0.8182625931240359,0.10008060228741636,0.8249417232825583,0.8834137893119358,-0.5605974041595012,-0.48620043849139616,0.01364871640784632,1.7768294810495755,1.3979111341488153,1.9088395499567206,0.6763277256621762,0.4324051696591145,-0.6090012306271778,-1.3299377448747127,-1.5374471246410997,-1.5685172394078477,-1.466206037384875,1.7054318703985998,1.033981771578475,2.9499927090974483,-0.37324898928916733,-1.2589300517674216,-1.2587716886048346,-1.0340306590239452,-1.1283052333412056,-0.5246539238613945,0.5260935968293032,0.33335093480625505,-1.0933242957428222,1.316944335481878,0.32753426943181996,-0.9812114386094061,1.436990447457176,-1.650181069568279,-0.8522427833392846,-1.2709462053353817,0.7962056358632364,1.0004152089717653,0.37866138115092907,2.30474293453454,0.6210223723557529,-0.45607387634056423,-0.28717516201398136,-0.22321324395557365,0.10479034550184094,-1.3306092428861065,1.4679141488409078,2.1699086693201433,0.6379781839920681,1.6686612814675728,1.4214763964854118,1.222771718260176,0.39341907998065573,2.5512510102295844,0.9650182068494245,1.9365378038460062,1.8320823176987366,1.2135516803205726,0.8267998837859984,-0.6092016678921358,0.32753426943181996,-0.45236163416345565,-1.3306092428861078,2.2761769865509542,1.6166518217202808,1.5801493517933773,1703
