,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,player_number_ind,player_ind,player_id
0,3.510573231273413,2.7788022507588646,3.3815752807166004,3.219243389009576,0.5897821712903365,0.9109097903369554,1.5235643108002124,-0.6189141460271682,0.18293792744719725,0.7449795479418022,4,Kayla Hoohuli,0
1,4.064744633314487,1.9314026653230643,-0.6709238213615691,-1.3308922635815088,1.1715761807040763,-2.4028953377970796,1.3883963143326308,0.7344873179966563,0.12366582319354107,-0.08645264134977552,5,Tiahana Mills,1
2,4.740483236085512,-2.892328488144827,-2.160326621961621,-0.5958535229646729,0.17104823570230668,0.05593547267433611,-1.4467891588213893,-0.28581561551662477,1.006014030870182,0.7115301600814223,24,Crystal Porter,2
3,0.5046683391671385,-0.6204214346689496,4.028174229030308,0.8148642194366272,-1.0352397509734164,-0.5192052122355963,1.2109440520637593,0.08538465154629396,0.12559759168821819,-0.5750608567795591,31,Emily Weber,3
4,-0.013385121883781742,-4.694552293402866,-1.8051444033571373,-2.2266694626547507,-0.6604364224419251,-0.036661507986491704,0.33022612236084903,-0.9773555736467632,0.5456151126598442,-1.0622765939173833,20,Jasmine Mungo,4
5,-2.895576314018839,0.19296158939571162,0.47849457541579016,-1.8879373686790573,-1.4533646994604832,0.48464738841918525,0.07619975596502253,-0.5103555588092704,1.056655039959443,-1.2794382799955497,15,Lauren D'Hont,5
6,-3.91620995582008,0.5513048699947547,1.0936423425880415,-0.1671578351518218,1.045388225605073,-0.688114635144741,0.5230605532208337,-0.9619419316715662,1.451340922825827,-0.12177742909140991,10,Margret Halfdanardottir,6
7,-5.628354696160698,-1.8110007967871977,1.1374746402884337,3.0895688949325155,0.0870241056311482,-1.428237437902869,-0.6100656260951853,-1.7987040692156342,-0.6157624459844951,-0.6995212469264239,25,Abby Schwenk,7
8,-4.2904832114690405,-5.154832535470775,-1.1081903927838825,2.419555071137598,-0.8174304070674752,-1.2333817199193424,-1.0670569573158524,-1.2031247856868708,1.2653846308318557,0.8810286596718564,35,Laniere Coleman,8
9,-5.021913872526471,4.456117053220903,-6.1230516758850895,-2.7522853401176945,0.47285747090774627,0.23552177872169688,-1.2303935995173023,0.3806152450862258,1.653644273456879,-0.30756358042985704,22,Tamara Miskovic,10
10,5.3655079367218566,-0.7275319601609737,1.5285203240414458,-1.8567894849328754,-0.86111914393605,-1.2981509392526482,-1.4897617234408118,0.4626631264727112,-0.5762957346745053,0.2586742941818157,14,Sara Hinriksdottir,12
11,0.9910910065690522,1.5805442812532922,2.0883637723808417,-1.0402409241152952,-0.9767582405509744,-1.9779089472656428,1.1789267981056468,-0.7162658567641492,-0.11831681889563973,1.4535401879588994,10,Margret Halfdanardottir,13
12,-0.06363173077988779,0.48255839354190727,2.4328752299932264,0.21581260825330165,0.5815778566297656,0.1307231253539577,-1.6682615338094755,0.5853938685974885,-0.980577621617953,0.10315201490094755,13,Maria Welch,14
13,-1.976992206609656,-2.3005240744462205,1.8568811689875877,-0.1340323538200016,0.3836890349956628,-0.11644458288265158,-1.3798928770841359,0.1592000217691576,-0.9115493261179125,0.15934240383885054,24,Tiana Pugh,15
14,-0.43775519153500697,-4.563126178980001,-0.5747990704817477,-0.9640956973387523,-0.38096596833468266,-0.5547101440298629,-0.02272046926583931,-2.589305016336434,0.15754747865894472,-0.727722166100658,44,Danielle Sanderlin,16
15,-2.349479814415442,-2.539144859088544,-0.37586793210741426,-4.956281437508521,1.8497123364191252,0.011498851657143004,-0.4531694953834881,-0.17760101799933287,0.5126885950408282,-0.5267969777894398,11,Anndea Zeigler,17
16,-3.4278041780248363,-3.5479415136433947,0.5623657963041542,0.38481694271073963,0.4185022438614736,-0.09596455590251256,-0.19558102550805875,0.7845410531514649,-0.3572071193228166,1.1594556736559967,32,Saliah Serrette,18
17,-4.192330652799317,4.3195303366283095,-2.8651003653771996,2.8146910960271145,-3.0918475095081903,3.6473652532509804,-0.6310409307838649,1.1722898286324215,-1.396182007236674,-0.7136406285971605,23,Sarah Cooley,19
18,-5.524736574119028,3.63029832436059,-2.8092668035689634,-2.699066768540062,-1.1855095720472244,-2.0592589321076695,-1.6440962261532872,-0.48345504591726474,-0.03413118636785164,-0.11746463526363374,22,Olivia Vernon ,21
19,-1.907789030972063,6.841200400439376,-8.273836899345707,1.0188531895548087,-0.01102727659057054,5.59017633676096,1.004927326037884,2.1707488871304443,-1.1437187029955267,-1.661432918140619,4,Anna Sweny,22
20,3.2033897914017255,2.4747840151016565,1.4402953023372258,-2.5176674996948907,0.5891964276363452,-2.2109128036607575,0.018662752878415876,0.4478627345752699,0.11903231856177643,-0.07202570007875365,0,Jaela Johnson,26
21,3.9044858020016733,-4.945481587707606,-1.863618117435978,-0.6434770884135826,-0.8814926455606784,-2.3078304636520546,0.9064100655120404,0.35828296487062483,-0.6912516281313842,-2.399282930342058,34,Shariah Gailes,27
22,2.5839407602046696,0.4006280041046395,-1.0770541207113418,-2.160324933525687,-0.5112264457153022,-3.2377957818751755,0.5097398726846204,0.5404485744306318,-0.1602087051488609,-0.3845764479668426,22,Franka Wittenberg,28
23,1.773456993027075,-3.5528840593665842,-2.4823372101675325,0.12101893697775855,-0.17114906496920448,-0.038356861980218135,0.8939934258145398,0.4739407641522633,0.7428929947327575,0.41465029486765637,11,Mariam Sanogo,29
24,1.2683188633540117,-2.598659007984323,-2.416797562886671,0.9593298564732277,-0.8115085252726978,-0.41018917925258663,1.812169002295825,-0.6463829655502599,0.6596002961199228,-0.6189705765728586,33,Yasmine Djibril,30
