#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
04,"Johnson, Stella  04 Johnson, Stella",30,30.0,1111,37.0,261,555,0.47,51,155,0.329,172,214,0.804,745,24.8,54,174,228,7.6,95,113,138,86,25,View Bio
13,"Favre , Lea  13 Favre , Lea",29,25.0,939,32.4,159,307,0.518,1,1,1.0,26,41,0.634,345,11.9,72,47,119,4.1,59,35,41,19,19,View Bio
31,"Johnson, Amari  31 Johnson, Amari",30,30.0,1022,34.1,138,367,0.376,25,95,0.263,48,71,0.676,349,11.6,70,249,319,10.6,85,28,62,32,42,View Bio
03,"Mobley, Amanda 03 Mobley, Amanda",30,29.0,958,31.9,96,258,0.372,45,131,0.344,40,44,0.909,277,9.2,11,82,93,3.1,61,151,98,50,15,View Bio
11,"Moses, Daija  11 Moses, Daija",29,6.0,535,18.4,42,93,0.452,6,21,0.286,17,26,0.654,107,3.7,26,51,77,2.7,70,32,35,25,2,View Bio
42,"Goodman, Tracey  42 Goodman, Tracey",23,0.0,229,10.0,21,60,0.35,8,21,0.381,9,16,0.563,59,2.6,12,27,39,1.7,36,9,21,4,3,View Bio
22,"Stover, Lexi  22 Stover, Lexi",30,1.0,382,12.7,22,82,0.268,16,66,0.242,2,5,0.4,62,2.1,7,27,34,1.1,26,18,14,6,1,View Bio
44,"Toomey, Victoria 44 Toomey, Victoria",23,0.0,132,5.7,13,27,0.481,0,1,0.0,7,12,0.583,33,1.4,8,12,20,0.9,20,4,10,2,2,View Bio
32,"Johnson, Aubre  32 Johnson, Aubre",30,29.0,557,18.6,16,36,0.444,0,1,0.0,2,4,0.5,34,1.1,15,99,114,3.8,93,30,20,25,17,View Bio
05,"Hyacienth, Maya  05 Hyacienth, Maya",25,0.0,124,5.0,7,24,0.292,4,19,0.211,3,4,0.75,21,0.8,5,8,13,0.5,13,1,11,4,1,View Bio
00,"Saa, Lauren  00 Saa, Lauren",4,0.0,13,3.3,1,1,1.0,1,1,1.0,0,0,0.0,3,0.8,0,2,2,0.5,0,1,0,0,0,View Bio
33,"DeMauro, Sophia  33 DeMauro, Sophia",11,0.0,38,3.5,1,4,0.25,0,3,0.0,5,7,0.714,7,0.6,1,4,5,0.5,7,2,10,1,1,View Bio
23,"Wolak, Teresa  23 Wolak, Teresa",5,0.0,10,2.0,0,1,0.0,0,1,0.0,2,2,1.0,2,0.4,2,2,4,0.8,1,0,1,0,0,View Bio
TM,Team  TM Team,30,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,53,65,118,3.9,0,0,17,0,0,
,Total,30,,6050,201.7,777,1815,0.428,157,516,0.304,333,446,0.747,2044,68.13,336,849,1185,39.5,566,424,478,254,128,
,Opponents,30,,6050,201.7,592,1730,0.342,139,525,0.265,434,594,0.731,1757,58.57,352,727,1079,36.0,500,258,502,222,41,
