Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
11,Lou Lopez-Senechal,31,31.0,1057,34.1,231,515,0.449,54,132,0.409,88,110,0.8,604,19.5,22,120,142,4.6,58,33,59,32,13
23,Callie Cavanaugh,32,32.0,1042,32.6,134,294,0.456,1,18,0.056,38,54,0.704,307,9.6,46,90,136,4.3,91,41,45,22,23
31,Sydney Lowery,31,31.0,950,30.6,97,245,0.396,30,84,0.357,58,72,0.806,282,9.1,36,77,113,3.6,40,43,47,48,3
41,Andrea Hernangomez,31,31.0,968,31.2,108,267,0.404,9,52,0.173,22,38,0.579,247,8.0,72,180,252,8.1,57,50,61,38,10
22,Rachel Hakes,32,32.0,1141,35.7,72,153,0.471,26,61,0.426,68,81,0.84,238,7.4,36,128,164,5.1,60,187,74,47,8
30,Sam Lewis,32,3.0,574,17.9,73,207,0.353,61,168,0.363,18,22,0.818,225,7.0,7,49,56,1.8,29,24,14,20,12
03,Janelle Brown,31,0.0,358,11.5,36,84,0.429,4,21,0.19,35,50,0.7,111,3.6,8,39,47,1.5,39,60,37,40,5
02,Mimi Rubino,22,0.0,75,3.4,7,13,0.538,1,5,0.2,4,4,1.0,19,0.9,0,6,6,0.3,8,9,6,2,2
34,Dayna Tirado,6,0.0,10,1.7,2,7,0.286,0,1,0.0,0,0,0.0,4,0.7,0,2,2,0.3,2,0,0,0,1
25,MacKenzie Daleba,18,0.0,37,2.1,5,15,0.333,0,1,0.0,1,6,0.167,11,0.6,8,6,14,0.8,4,1,3,3,0
42,MacKenzie Martin,28,0.0,182,6.5,8,25,0.32,2,4,0.5,0,2,0.0,18,0.6,13,26,39,1.4,6,5,9,2,1
32,Jazmine Carter,7,0.0,13,1.9,1,3,0.333,0,0,0.0,0,0,0.0,2,0.3,1,1,2,0.3,4,0,0,0,0
33,Brooke Tatarian,13,0.0,22,1.7,0,2,0.0,0,0,0.0,1,2,0.5,1,0.1,1,4,5,0.4,6,0,3,0,1
55,Jocelyn Polansky,9,0.0,21,2.3,0,2,0.0,0,1,0.0,0,0,0.0,0,0.0,1,1,2,0.2,1,1,2,2,0
