#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
03,"Kerner, Erin  03 Kerner, Erin",1,1.0,18,18.0,8,12,0.667,2,5,0.4,3,3,1.0,21,21.0,0,1,1,1.0,3,3,4,2,1,View Bio
23,"Pennewell, Mandy  23 Pennewell, Mandy",1,1.0,30,30.0,6,16,0.375,1,4,0.25,7,9,0.778,20,20.0,3,4,7,7.0,1,3,1,0,0,View Bio
10,"Rooney, Brianna  10 Rooney, Brianna",1,1.0,20,20.0,4,8,0.5,1,4,0.25,4,4,1.0,13,13.0,1,1,2,2.0,3,3,1,4,0,View Bio
21,"Lee, Monique  21 Lee, Monique",1,1.0,25,25.0,4,9,0.444,0,0,0.0,4,6,0.667,12,12.0,3,6,9,9.0,3,2,4,4,1,View Bio
31,"Kaminski, Courtney  31 Kaminski, Courtney",1,0.0,13,13.0,1,4,0.25,0,0,0.0,4,6,0.667,6,6.0,1,2,3,3.0,2,0,0,0,0,View Bio
14,"Anderson, Amber  14 Anderson, Amber",1,0.0,10,10.0,1,4,0.25,1,2,0.5,1,2,0.5,4,4.0,3,4,7,7.0,2,0,1,0,0,View Bio
22,"Lazos, Krystal  22 Lazos, Krystal",1,0.0,18,18.0,0,2,0.0,0,0,0.0,3,4,0.75,3,3.0,3,4,7,7.0,1,1,1,0,0,View Bio
15,"Duperron, Nicole  15 Duperron, Nicole",1,1.0,17,17.0,1,2,0.5,0,0,0.0,0,1,0.0,2,2.0,2,2,4,4.0,3,3,0,3,2,View Bio
24,"Adams, Ashley  24 Adams, Ashley",1,0.0,5,5.0,0,1,0.0,0,0,0.0,2,4,0.5,2,2.0,2,2,4,4.0,1,0,0,0,1,View Bio
33,"Neyens, Kathleen  33 Neyens, Kathleen",1,0.0,19,19.0,0,2,0.0,0,0,0.0,2,2,1.0,2,2.0,1,3,4,4.0,1,0,1,0,0,View Bio
32,"McGowan, Sarah  32 McGowan, Sarah",1,0.0,16,16.0,0,5,0.0,0,1,0.0,0,0,0.0,0,0.0,0,2,2,2.0,0,1,0,1,0,View Bio
30,"Picillo, Mia  30 Picillo, Mia",1,0.0,4,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,1,0,View Bio
12,"Pratt, Lailah  12 Pratt, Lailah",1,0.0,5,5.0,0,4,0.0,0,0,0.0,0,0,0.0,0,0.0,2,0,2,2.0,0,1,1,0,0,View Bio
TM,Team  TM Team,1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,3,2,5,5.0,0,0,0,0,0,
,Total,1,,200,200.0,25,69,0.362,5,16,0.313,30,41,0.732,85,85.0,24,33,57,57.0,20,17,14,15,5,
,Opponents,1,,200,200.0,10,51,0.196,5,13,0.385,16,25,0.64,41,41.0,13,28,41,41.0,27,8,28,4,3,
