#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
30,"Hamilton, Marissa  30 Hamilton, Marissa",25,23.0,709,28.4,128,330,0.388,30,103,0.291,55,74,0.743,341,13.6,29,110,139,5.6,60,19,65,27,15,View Bio
05,"Thomas , Kaylee 05 Thomas , Kaylee",26,21.0,758,29.2,93,257,0.362,43,129,0.333,70,84,0.833,299,11.5,34,55,89,3.4,26,47,56,28,5,View Bio
01,"DeCesare, Jayme 01 DeCesare, Jayme",31,31.0,1052,33.9,112,313,0.358,55,180,0.306,48,63,0.762,327,10.5,32,99,131,4.2,62,105,58,48,5,View Bio
14,"Staton, Amaya  14 Staton, Amaya",31,27.0,701,22.6,114,278,0.41,2,17,0.118,36,58,0.621,266,8.6,66,115,181,5.8,96,28,52,19,37,View Bio
02,"Christian , Diamond 02 Christian , Diamond",24,22.0,666,27.8,57,161,0.354,33,92,0.359,27,42,0.643,174,7.3,42,65,107,4.5,49,60,48,28,3,View Bio
04,"Bray, Mackenzie  04 Bray, Mackenzie",23,11.0,441,19.2,48,115,0.417,18,54,0.333,18,23,0.783,132,5.7,10,27,37,1.6,27,13,22,9,1,
03,"Owens, Ava  03 Owens, Ava",27,11.0,526,19.5,46,90,0.511,0,1,0.0,29,45,0.644,121,4.5,29,40,69,2.6,72,20,70,23,9,View Bio
12,"Fursman, Alana 12 Fursman, Alana",25,4.0,414,16.6,35,95,0.368,12,48,0.25,12,21,0.571,94,3.8,18,38,56,2.2,30,12,34,12,5,View Bio
22,"Melaschenko, Lydia 22 Melaschenko, Lydia",24,0.0,294,12.3,22,58,0.379,4,18,0.222,16,23,0.696,64,2.7,23,12,35,1.5,27,25,28,8,1,View Bio
11,"Powell, Jada 11 Powell, Jada",28,0.0,315,11.3,22,60,0.367,0,1,0.0,13,32,0.406,57,2.0,39,68,107,3.8,44,9,28,8,8,View Bio
24,"Manion, Molly 24 Manion, Molly",19,5.0,256,13.5,11,35,0.314,0,12,0.0,0,0,0.0,22,1.2,7,15,22,1.2,9,10,14,4,5,View Bio
15,"Okoh, Antoniette  15 Okoh, Antoniette",6,0.0,24,4.0,2,11,0.182,0,1,0.0,0,0,0.0,4,0.7,4,1,5,0.8,3,0,2,0,0,View Bio
00,"Wise-Wright, Sidni  00 Wise-Wright, Sidni",7,0.0,44,6.3,2,12,0.167,0,1,0.0,0,0,0.0,4,0.6,3,11,14,2.0,4,2,4,2,1,View Bio
TM,Team  TM Team,31,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,60,59,119,3.8,0,0,21,0,0,
,Total,31,,6200,200.0,692,1815,0.381,197,657,0.3,324,465,0.697,1905,61.45,396,715,1111,35.8,509,350,502,216,95,
,Opponents,31,,6200,200.0,749,1786,0.419,190,599,0.317,357,493,0.724,2045,65.97,370,775,1145,36.9,513,396,494,241,103,
