Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
03,Erin Kerner,1,1.0,38,38.0,3,8,0.375,0,0,0.0,12,12,1.0,18,18.0,0,5,5,5.0,1,4,7,1,0
23,Mandy Pennewell,1,1.0,35,35.0,7,10,0.7,2,3,0.667,2,3,0.667,18,18.0,0,2,2,2.0,3,1,1,0,0
21,Monique Lee,1,1.0,34,34.0,6,8,0.75,0,0,0.0,1,2,0.5,13,13.0,0,4,4,4.0,1,3,6,3,1
31,Courtney Kaminski,1,0.0,20,20.0,5,7,0.714,1,1,1.0,1,3,0.333,12,12.0,3,6,9,9.0,3,1,2,2,2
10,Brianna Rooney,1,1.0,33,33.0,3,4,0.75,0,1,0.0,4,7,0.571,10,10.0,1,3,4,4.0,1,4,5,1,0
55,Hannalee Pervan,1,1.0,12,12.0,1,2,0.5,0,0,0.0,2,2,1.0,4,4.0,0,1,1,1.0,1,1,4,1,0
20,Megan Barnum,1,0.0,6,6.0,1,1,1.0,1,1,1.0,0,0,0.0,3,3.0,0,0,0,0.0,0,0,1,0,0
22,Krystal Lazos,1,0.0,5,5.0,1,1,1.0,0,0,0.0,0,0,0.0,2,2.0,0,0,0,0.0,0,0,0,1,0
34,Charmaine Steele,1,0.0,6,6.0,1,3,0.333,0,0,0.0,0,0,0.0,2,2.0,0,0,0,0.0,0,1,0,0,0
15,Nicole Duperron,1,0.0,3,3.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,1,0,0
32,Sarah McGowan,1,0.0,8,8.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,1,0,0
