Player Number,Player,GP,GS,Minutes TOT,Minutes AVG,FG FGM,FG FGA,FG FG%,3PT,3PT 3PTA,3PT 3PT%,FT FTM,FT FTA,FT FT%,Scoring PTS,Scoring AVG,Rebounds OFF,Rebounds DEF,Rebounds TOT,Rebounds AVG,PF,AST,TO,STL,BLK
42,Sajanna Bethea,28,24.0,770,27.5,107,312,0.343,0,10,0.0,78,109,0.716,292,10.4,82,130,212,7.6,77,23,64,30,6
05,Antonia Smith,28,15.0,788,28.1,108,276,0.391,11,39,0.282,52,70,0.743,279,10.0,17,76,93,3.3,60,82,88,16,2
23,Alyssa Velles,28,24.0,777,27.8,87,257,0.339,47,166,0.283,13,21,0.619,234,8.4,9,78,87,3.1,51,20,43,10,2
42,Sajanna Bethea,2,1.0,42,21.0,6,13,0.462,1,2,0.5,2,3,0.667,15,7.5,3,8,11,5.5,3,0,2,1,0
14,Hala Mostafa,28,4.0,585,20.9,71,191,0.372,11,50,0.22,49,74,0.662,202,7.2,36,109,145,5.2,58,23,59,19,24
14,Hala Mostafa,2,1.0,41,20.5,5,16,0.313,0,2,0.0,1,6,0.167,11,5.5,2,8,10,5.0,3,1,4,1,2
21,Samantha Meier,2,2.0,54,27.0,5,7,0.714,0,0,0.0,0,1,0.0,10,5.0,1,3,4,2.0,4,4,7,0,3
15,Talah Hughes,28,1.0,465,16.6,46,111,0.414,0,5,0.0,36,53,0.679,128,4.6,37,63,100,3.6,45,12,39,18,10
04,Marcia Senatus,6,2.0,121,20.2,8,27,0.296,2,8,0.25,7,10,0.7,25,4.2,1,14,15,2.5,8,11,11,3,0
50,Bridget Whitfield,2,2.0,50,25.0,3,7,0.429,2,4,0.5,0,0,0.0,8,4.0,1,0,1,0.5,0,1,0,1,0
50,Bridget Whitfield,28,28.0,660,23.6,37,96,0.385,13,36,0.361,15,16,0.938,102,3.6,25,47,72,2.6,40,28,41,7,4
01,Rebecca Sparks,26,13.0,451,17.3,30,103,0.291,6,11,0.545,26,37,0.703,92,3.5,9,26,35,1.3,26,50,53,18,1
23,Alyssa Velles,2,1.0,51,25.5,3,15,0.2,1,9,0.111,0,0,0.0,7,3.5,1,3,4,2.0,3,4,5,1,0
15,Talah Hughes,2,0.0,29,14.5,3,5,0.6,0,0,0.0,1,2,0.5,7,3.5,3,3,6,3.0,2,0,2,1,0
05,Antonia Smith,2,1.0,39,19.5,3,8,0.375,0,2,0.0,0,0,0.0,6,3.0,0,2,2,1.0,3,0,2,0,1
01,Rebecca Sparks,2,1.0,50,25.0,1,11,0.091,0,1,0.0,4,7,0.571,6,3.0,0,5,5,2.5,4,2,6,2,0
32,Kaycee DeVoogd,1,0.0,3,3.0,1,2,0.5,0,0,0.0,0,0,0.0,2,2.0,0,0,0,0.0,1,0,0,0,1
45,Neechelle Ingram,25,0.0,287,11.5,17,49,0.347,0,0,0.0,8,19,0.421,42,1.7,25,34,59,2.4,44,6,29,4,13
21,Samantha Meier,27,27.0,558,20.7,18,63,0.286,0,0,0.0,7,13,0.538,43,1.6,24,83,107,4.0,68,29,21,15,18
12,Teresa Corchado,12,2.0,119,9.9,4,14,0.286,3,5,0.6,1,4,0.25,12,1.0,1,11,12,1.0,16,7,16,3,0
12,Teresa Corchado,2,1.0,26,13.0,1,5,0.2,0,2,0.0,0,1,0.0,2,1.0,0,4,4,2.0,5,3,3,1,0
33,Kylie Garrett,3,0.0,13,4.3,1,4,0.25,1,4,0.25,0,0,0.0,3,1.0,0,2,2,0.7,1,0,1,0,0
32,Kaycee DeVoogd,5,0.0,7,1.4,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,1,0,0
45,Neechelle Ingram,2,0.0,15,7.5,0,4,0.0,0,0,0.0,0,0,0.0,0,0.0,1,3,4,2.0,2,1,1,1,0
